Filename,n_estimators,max_samples,contamination,max_features,bootstrap,n_jobs,warm_start,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29
CastMetal1,2,auto,auto,1.0,False,None,False,0.18918918918918917,0.26666666666666666,0.2222222222222222,0.18918918918918917,0.22556390977443608,0.3148148148148148,0.2033898305084746,0.175,0.24489795918367344,0.21212121212121213,0.2877697841726618,0.2156862745098039,0.2195121951219512,0.10989010989010989,0.2696629213483146,0.34693877551020413,0.11764705882352941,0.2830188679245283,0.2033898305084746,0.2247191011235955,0.23076923076923075,0.1818181818181818,0.16494845360824742,0.26356589147286824,0.1395348837209302,0.25210084033613445,0.16867469879518074,0.2368421052631579,0.3440860215053763,0.25
CastMetal1,4,auto,auto,1.0,False,None,False,0.21359223300970873,0.3255813953488372,0.2608695652173913,0.3146067415730337,0.17391304347826086,0.22916666666666666,0.2696629213483146,0.24242424242424243,0.2790697674418604,0.1492537313432836,0.25882352941176473,0.29333333333333333,0.19753086419753083,0.1917808219178082,0.20689655172413796,0.25882352941176473,0.25531914893617025,0.26829268292682923,0.2542372881355932,0.225,0.26373626373626374,0.24657534246575344,0.18823529411764706,0.29213483146067415,0.23762376237623764,0.2727272727272727,0.22988505747126436,0.1492537313432836,0.10256410256410256,0.1875
CastMetal1,8,auto,auto,1.0,False,None,False,0.2626262626262626,0.2191780821917808,0.2736842105263158,0.25641025641025644,0.28571428571428575,0.1846153846153846,0.2888888888888889,0.15873015873015875,0.273972602739726,0.1492537313432836,0.20930232558139536,0.2558139534883721,0.25,0.19999999999999998,0.273972602739726,0.28571428571428575,0.1794871794871795,0.22988505747126436,0.21333333333333335,0.2826086956521739,0.2368421052631579,0.30952380952380953,0.3,0.3132530120481927,0.23157894736842105,0.2765957446808511,0.24691358024691357,0.22535211267605634,0.26829268292682923,0.25
CastMetal1,16,auto,auto,1.0,False,None,False,0.2,0.2631578947368421,0.22535211267605634,0.2162162162162162,0.2758620689655172,0.2758620689655172,0.3010752688172043,0.2777777777777778,0.2750000000000001,0.2571428571428572,0.24096385542168675,0.25974025974025977,0.18181818181818182,0.1728395061728395,0.15789473684210528,0.15151515151515152,0.23376623376623376,0.2716049382716049,0.273972602739726,0.2318840579710145,0.23255813953488372,0.20895522388059704,0.22535211267605634,0.21052631578947367,0.26506024096385544,0.25287356321839083,0.2608695652173913,0.2758620689655172,0.15789473684210528,0.23376623376623376
CastMetal1,32,auto,auto,1.0,False,None,False,0.23999999999999996,0.2750000000000001,0.21052631578947367,0.23529411764705882,0.2077922077922078,0.2222222222222222,0.29333333333333333,0.25,0.29333333333333333,0.25641025641025644,0.29333333333333333,0.28571428571428575,0.2926829268292683,0.2162162162162162,0.25316455696202533,0.29333333333333333,0.24657534246575344,0.2820512820512821,0.2432432432432432,0.2535211267605634,0.29629629629629634,0.2926829268292683,0.2432432432432432,0.2191780821917808,0.2222222222222222,0.27848101265822783,0.27027027027027023,0.3116883116883117,0.25641025641025644,0.2750000000000001
CastMetal1,64,auto,auto,1.0,False,None,False,0.3037974683544304,0.2972972972972973,0.2432432432432432,0.25,0.23999999999999996,0.28571428571428575,0.2777777777777778,0.22857142857142854,0.22857142857142854,0.2631578947368421,0.3116883116883117,0.2972972972972973,0.2191780821917808,0.2750000000000001,0.273972602739726,0.2894736842105263,0.2631578947368421,0.2631578947368421,0.2432432432432432,0.2816901408450704,0.2432432432432432,0.2777777777777778,0.28571428571428575,0.29333333333333333,0.29333333333333333,0.2894736842105263,0.23376623376623376,0.2432432432432432,0.26666666666666666,0.26666666666666666
CastMetal1,100,auto,auto,1.0,False,None,False,0.2368421052631579,0.27027027027027023,0.27027027027027023,0.2894736842105263,0.2631578947368421,0.27027027027027023,0.25,0.2535211267605634,0.2368421052631579,0.2162162162162162,0.273972602739726,0.2894736842105263,0.23999999999999996,0.2894736842105263,0.28571428571428575,0.26666666666666666,0.24657534246575344,0.24657534246575344,0.24657534246575344,0.24657534246575344,0.2191780821917808,0.25,0.26666666666666666,0.2631578947368421,0.273972602739726,0.29333333333333333,0.26666666666666666,0.24657534246575344,0.2820512820512821,0.2631578947368421
CastMetal1,128,auto,auto,1.0,False,None,False,0.17647058823529413,0.2432432432432432,0.24657534246575344,0.23999999999999996,0.2432432432432432,0.22857142857142854,0.23376623376623376,0.27027027027027023,0.26666666666666666,0.2535211267605634,0.2631578947368421,0.25,0.26666666666666666,0.2432432432432432,0.2894736842105263,0.24657534246575344,0.27027027027027023,0.273972602739726,0.27027027027027023,0.29333333333333333,0.2631578947368421,0.2820512820512821,0.26666666666666666,0.27027027027027023,0.2432432432432432,0.23999999999999996,0.2432432432432432,0.27027027027027023,0.273972602739726,0.27027027027027023
CastMetal1,256,auto,auto,1.0,False,None,False,0.273972602739726,0.27027027027027023,0.28571428571428575,0.2894736842105263,0.27027027027027023,0.27027027027027023,0.27027027027027023,0.2631578947368421,0.25,0.26666666666666666,0.2432432432432432,0.23999999999999996,0.24657534246575344,0.26666666666666666,0.2222222222222222,0.24657534246575344,0.24657534246575344,0.26666666666666666,0.2631578947368421,0.2894736842105263,0.2894736842105263,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.2535211267605634,0.2631578947368421,0.22535211267605634,0.273972602739726,0.27027027027027023,0.23999999999999996
CastMetal1,512,auto,auto,1.0,False,None,False,0.26666666666666666,0.26666666666666666,0.27027027027027023,0.27027027027027023,0.273972602739726,0.27027027027027023,0.26666666666666666,0.26666666666666666,0.27027027027027023,0.26666666666666666,0.27027027027027023,0.2894736842105263,0.26666666666666666,0.27027027027027023,0.27027027027027023,0.2631578947368421,0.27027027027027023,0.27027027027027023,0.27027027027027023,0.24657534246575344,0.27027027027027023,0.27027027027027023,0.27027027027027023,0.26666666666666666,0.26666666666666666,0.2894736842105263,0.27027027027027023,0.27027027027027023,0.26666666666666666,0.2432432432432432
