,Filename,kernel,degree,gamma,coef0,tolerance,nu,shrinking,cachesize,epsilon,Parameter_Iteration,R
768,churn,linear,3,scale,0.0,0.001,0.5,True,200,0.1,0,0.2317278544964634
769,churn,polynomial,3,scale,0.0,0.001,0.5,True,200,0.1,0,0.1118721461187214
770,churn,radial,3,scale,0.0,0.001,0.5,True,200,0.1,0,0.119077306733167
771,churn,sigmoid,3,scale,0.0,0.001,0.5,True,200,0.1,0,0.1031234506693108
772,churn,radial,3,auto,0.0,0.001,0.5,True,200,0.1,0,0.1191144371686934
773,churn,radial,3,scale,0.1,0.001,0.5,True,200,0.1,0,0.119077306733167
774,churn,radial,3,scale,0.2,0.001,0.5,True,200,0.1,0,0.119077306733167
775,churn,radial,3,scale,0.3,0.001,0.5,True,200,0.1,0,0.119077306733167
776,churn,radial,3,scale,0.4,0.001,0.5,True,200,0.1,0,0.119077306733167
777,churn,radial,3,scale,0.0,0.001,0.1,True,200,0.1,0,0.2147934678194044
778,churn,radial,3,scale,0.0,0.001,0.2,True,200,0.1,0,0.1883503401360544
779,churn,radial,3,scale,0.0,0.001,0.3,True,200,0.1,0,0.1689671584959542
780,churn,radial,3,scale,0.0,0.001,0.4,True,200,0.1,0,0.1447084233261339
781,churn,radial,3,scale,0.0,0.001,0.6,True,200,0.1,0,0.0953436807095343
782,churn,radial,3,scale,0.0,0.001,0.7,True,200,0.1,0,0.0707803992740471
783,churn,radial,3,scale,0.0,0.001,0.8,True,200,0.1,0,0.0480374926772114
784,churn,radial,3,scale,0.0,0.001,0.9,True,200,0.1,0,0.0248138957816377
785,churn,radial,3,scale,0.0,0.001,0.5,False,200,0.1,0,0.119077306733167
786,churn,radial,3,scale,0.0,0.001,0.5,True,50,0.1,0,0.119077306733167
787,churn,radial,3,scale,0.0,0.001,0.5,True,100,0.1,0,0.119077306733167
788,churn,radial,3,scale,0.0,0.001,0.5,True,400,0.1,0,0.119077306733167
789,churn,radial,3,scale,0.0,0.001,0.5,True,200,0.2,0,0.119077306733167
790,churn,radial,3,scale,0.0,0.001,0.5,True,200,0.01,0,0.119077306733167
791,churn,radial,3,scale,0.0,0.001,0.5,True,200,0.05,0,0.119077306733167
