Filename,kernel,degree,gamma,coef0,tol,nu,shrinking,cache_size,max_iter,Parameter_Iteration,R
PieChart3,linear,3,scale,0.0,0.001,0.5,True,200,-1,0,0.0921248142644873
PieChart3,poly,3,scale,0.0,0.001,0.5,True,200,-1,0,0.1065573770491803
PieChart3,rbf,3,scale,0.0,0.001,0.5,True,200,-1,0,0.1218424962852897
PieChart3,sigmoid,3,scale,0.0,0.001,0.5,True,200,-1,0,0.0922619047619047
PieChart3,rbf,3,auto,0.0,0.001,0.5,True,200,-1,0,0.2309644670050761
PieChart3,rbf,3,scale,0.0,0.1,0.5,True,200,-1,0,0.1218424962852897
PieChart3,rbf,3,scale,0.0,0.01,0.5,True,200,-1,0,0.1218424962852897
PieChart3,rbf,3,scale,0.0,0.0001,0.5,True,200,-1,0,0.1218424962852897
PieChart3,rbf,3,scale,0.0,1e-05,0.5,True,200,-1,0,0.1218424962852897
PieChart3,rbf,3,scale,0.0,0.001,0.1,True,200,-1,0,0.0413223140495867
PieChart3,rbf,3,scale,0.0,0.001,0.2,True,200,-1,0,0.0689655172413793
PieChart3,rbf,3,scale,0.0,0.001,0.3,True,200,-1,0,0.0962800875273523
PieChart3,rbf,3,scale,0.0,0.001,0.4,True,200,-1,0,0.1097345132743362
PieChart3,rbf,3,scale,0.0,0.001,0.6,True,200,-1,0,0.1435897435897436
PieChart3,rbf,3,scale,0.0,0.001,0.7,True,200,-1,0,0.1645997745208568
PieChart3,rbf,3,scale,0.0,0.001,0.8,True,200,-1,0,0.1706827309236948
PieChart3,rbf,3,scale,0.0,0.001,0.9,True,200,-1,0,0.2030825022665457
PieChart3,rbf,3,scale,0.0,0.001,0.5,False,200,-1,0,0.1218424962852897
PieChart3,rbf,3,scale,0.0,0.001,0.5,True,50,-1,0,0.1218424962852897
PieChart3,rbf,3,scale,0.0,0.001,0.5,True,100,-1,0,0.1218424962852897
PieChart3,rbf,3,scale,0.0,0.001,0.5,True,400,-1,0,0.1218424962852897
PieChart3,rbf,3,scale,0.0,0.001,0.5,True,200,50,0,0.1642228739002932
PieChart3,rbf,3,scale,0.0,0.001,0.5,True,200,100,0,0.1296296296296296
PieChart3,rbf,3,scale,0.0,0.001,0.5,True,200,150,0,0.1203438395415472
PieChart3,rbf,3,scale,0.0,0.001,0.5,True,200,200,0,0.1088435374149659
PieChart3,rbf,3,scale,0.0,0.001,0.5,True,200,250,0,0.1141804788213627
PieChart3,rbf,3,scale,0.0,0.001,0.5,True,200,300,0,0.1159420289855072
PieChart3,linear,3,scale,0.0,0.001,0.5,True,200,50,2,0.2178046672428694
PieChart3,poly,3,scale,0.0,0.001,0.5,True,200,50,2,0.2171628721541156
PieChart3,sigmoid,3,scale,0.0,0.001,0.5,True,200,50,2,0.1233689205219454
PieChart3,rbf,3,scale,0.0,0.1,0.5,True,200,50,2,0.1642228739002932
PieChart3,rbf,3,scale,0.0,0.01,0.5,True,200,50,2,0.1642228739002932
PieChart3,rbf,3,scale,0.0,0.0001,0.5,True,200,50,2,0.1642228739002932
PieChart3,rbf,3,scale,0.0,1e-05,0.5,True,200,50,2,0.1642228739002932
PieChart3,rbf,3,scale,0.0,0.001,0.1,True,200,50,2,0.1162227602905568
PieChart3,rbf,3,scale,0.0,0.001,0.2,True,200,50,2,0.0857142857142857
PieChart3,rbf,3,scale,0.0,0.001,0.3,True,200,50,2,0.1101243339253996
PieChart3,rbf,3,scale,0.0,0.001,0.4,True,200,50,2,0.1618257261410788
PieChart3,rbf,3,scale,0.0,0.001,0.6,True,200,50,2,0.2025316455696202
PieChart3,rbf,3,scale,0.0,0.001,0.7,True,200,50,2,0.1557788944723618
PieChart3,rbf,3,scale,0.0,0.001,0.8,True,200,50,2,0.2207357859531772
PieChart3,rbf,3,scale,0.0,0.001,0.9,True,200,50,2,0.180327868852459
PieChart3,rbf,3,scale,0.0,0.001,0.5,False,200,50,2,0.1642228739002932
PieChart3,rbf,3,scale,0.0,0.001,0.5,True,50,50,2,0.1642228739002932
PieChart3,rbf,3,scale,0.0,0.001,0.5,True,100,50,2,0.1642228739002932
PieChart3,rbf,3,scale,0.0,0.001,0.5,True,400,50,2,0.1642228739002932
PieChart3,linear,3,scale,0.0,1e-05,0.5,True,200,50,3,0.2178046672428694
PieChart3,poly,3,scale,0.0,1e-05,0.5,True,200,50,3,0.2171628721541156
PieChart3,sigmoid,3,scale,0.0,1e-05,0.5,True,200,50,3,0.1233689205219454
PieChart3,rbf,3,scale,0.0,1e-05,0.1,True,200,50,3,0.1162227602905568
PieChart3,rbf,3,scale,0.0,1e-05,0.2,True,200,50,3,0.0857142857142857
PieChart3,rbf,3,scale,0.0,1e-05,0.3,True,200,50,3,0.1101243339253996
PieChart3,rbf,3,scale,0.0,1e-05,0.4,True,200,50,3,0.1618257261410788
PieChart3,rbf,3,scale,0.0,1e-05,0.6,True,200,50,3,0.2025316455696202
PieChart3,rbf,3,scale,0.0,1e-05,0.7,True,200,50,3,0.1557788944723618
PieChart3,rbf,3,scale,0.0,1e-05,0.8,True,200,50,3,0.2207357859531772
PieChart3,rbf,3,scale,0.0,1e-05,0.9,True,200,50,3,0.180327868852459
PieChart3,rbf,3,scale,0.0,1e-05,0.5,False,200,50,3,0.1642228739002932
PieChart3,rbf,3,scale,0.0,1e-05,0.5,True,50,50,3,0.1642228739002932
PieChart3,rbf,3,scale,0.0,1e-05,0.5,True,100,50,3,0.1642228739002932
PieChart3,rbf,3,scale,0.0,1e-05,0.5,True,400,50,3,0.1642228739002932
PieChart3,linear,3,scale,0.0,1e-05,0.5,False,200,50,4,0.2178046672428694
PieChart3,poly,3,scale,0.0,1e-05,0.5,False,200,50,4,0.2171628721541156
PieChart3,sigmoid,3,scale,0.0,1e-05,0.5,False,200,50,4,0.1233689205219454
PieChart3,rbf,3,scale,0.0,1e-05,0.1,False,200,50,4,0.1162227602905568
PieChart3,rbf,3,scale,0.0,1e-05,0.2,False,200,50,4,0.0857142857142857
PieChart3,rbf,3,scale,0.0,1e-05,0.3,False,200,50,4,0.1101243339253996
PieChart3,rbf,3,scale,0.0,1e-05,0.4,False,200,50,4,0.1618257261410788
PieChart3,rbf,3,scale,0.0,1e-05,0.6,False,200,50,4,0.2025316455696202
PieChart3,rbf,3,scale,0.0,1e-05,0.7,False,200,50,4,0.1557788944723618
PieChart3,rbf,3,scale,0.0,1e-05,0.8,False,200,50,4,0.2207357859531772
PieChart3,rbf,3,scale,0.0,1e-05,0.9,False,200,50,4,0.180327868852459
PieChart3,rbf,3,scale,0.0,1e-05,0.5,False,50,50,4,0.1642228739002932
PieChart3,rbf,3,scale,0.0,1e-05,0.5,False,100,50,4,0.1642228739002932
PieChart3,rbf,3,scale,0.0,1e-05,0.5,False,400,50,4,0.1642228739002932
PieChart3,linear,3,scale,0.0,1e-05,0.5,False,50,50,5,0.2178046672428694
PieChart3,poly,3,scale,0.0,1e-05,0.5,False,50,50,5,0.2171628721541156
PieChart3,sigmoid,3,scale,0.0,1e-05,0.5,False,50,50,5,0.1233689205219454
PieChart3,rbf,3,scale,0.0,1e-05,0.1,False,50,50,5,0.1162227602905568
PieChart3,rbf,3,scale,0.0,1e-05,0.2,False,50,50,5,0.0857142857142857
PieChart3,rbf,3,scale,0.0,1e-05,0.3,False,50,50,5,0.1101243339253996
