R,Sk,ARI
KnuggetChase3_512_TRUE_auto_def,KnuggetChase3_100_auto_auto_1.0_False_None_False,0.8473584936681386
KnuggetChase3_512_TRUE_auto_def,KnuggetChase3_128_auto_auto_1.0_False_None_False,0.812293678837688
KnuggetChase3_512_TRUE_auto_def,KnuggetChase3_64_auto_auto_1.0_False_None_False,0.8156522871636319
KnuggetChase3_512_TRUE_auto_def,KnuggetChase3_100_1.0_auto_1.0_False_None_False,0.8004013207622266
KnuggetChase3_512_TRUE_auto_def,KnuggetChase3_100_0.9_auto_1.0_False_None_False,0.7535120029682817
KnuggetChase3_512_TRUE_auto_def,KnuggetChase3_100_auto_auto_0.9_False_None_False,0.7934863526256735
KnuggetChase3_512_TRUE_auto_def,KnuggetChase3_100_auto_auto_1.0_True_None_False,0.3167544613416691
KnuggetChase3_512_TRUE_auto_def,KnuggetChase3_100_auto_auto_1.0_False_1_False,0.7957075272433515
KnuggetChase3_512_TRUE_auto_def,KnuggetChase3_100_auto_auto_1.0_False_None_True,0.8263550588530993
KnuggetChase3_256_TRUE_auto_def,KnuggetChase3_100_auto_auto_1.0_False_None_False,0.8504054521198114
KnuggetChase3_256_TRUE_auto_def,KnuggetChase3_128_auto_auto_1.0_False_None_False,0.8246331026717396
KnuggetChase3_256_TRUE_auto_def,KnuggetChase3_64_auto_auto_1.0_False_None_False,0.8158281501396979
KnuggetChase3_256_TRUE_auto_def,KnuggetChase3_100_1.0_auto_1.0_False_None_False,0.8050129346808387
KnuggetChase3_256_TRUE_auto_def,KnuggetChase3_100_0.9_auto_1.0_False_None_False,0.7716687112218219
KnuggetChase3_256_TRUE_auto_def,KnuggetChase3_100_auto_auto_0.9_False_None_False,0.8044866298858959
KnuggetChase3_256_TRUE_auto_def,KnuggetChase3_100_auto_auto_1.0_True_None_False,0.32756667136613243
KnuggetChase3_256_TRUE_auto_def,KnuggetChase3_100_auto_auto_1.0_False_1_False,0.8075425936364077
KnuggetChase3_256_TRUE_auto_def,KnuggetChase3_100_auto_auto_1.0_False_None_True,0.83374877860837
KnuggetChase3_128_TRUE_auto_def,KnuggetChase3_100_auto_auto_1.0_False_None_False,0.8431891517786636
KnuggetChase3_128_TRUE_auto_def,KnuggetChase3_128_auto_auto_1.0_False_None_False,0.8207628571752977
KnuggetChase3_128_TRUE_auto_def,KnuggetChase3_64_auto_auto_1.0_False_None_False,0.8149755648349756
KnuggetChase3_128_TRUE_auto_def,KnuggetChase3_100_1.0_auto_1.0_False_None_False,0.7941675679122671
KnuggetChase3_128_TRUE_auto_def,KnuggetChase3_100_0.9_auto_1.0_False_None_False,0.7658148510334578
KnuggetChase3_128_TRUE_auto_def,KnuggetChase3_100_auto_auto_0.9_False_None_False,0.7983678641375042
KnuggetChase3_128_TRUE_auto_def,KnuggetChase3_100_auto_auto_1.0_True_None_False,0.32578508453134697
KnuggetChase3_128_TRUE_auto_def,KnuggetChase3_100_auto_auto_1.0_False_1_False,0.8035645654334351
KnuggetChase3_128_TRUE_auto_def,KnuggetChase3_100_auto_auto_1.0_False_None_True,0.8340261240037741
KnuggetChase3_128_TRUE_auto_def,KnuggetChase3_2_0.1_auto_1.0_False_None_False,0.08762287588112892
KnuggetChase3_128_TRUE_auto_def,KnuggetChase3_4_0.1_auto_1.0_False_None_False,0.27340234340657715
KnuggetChase3_128_TRUE_auto_def,KnuggetChase3_8_0.1_auto_1.0_False_None_False,0.15249747284378126
KnuggetChase3_128_TRUE_auto_def,KnuggetChase3_4_0.2_auto_1.0_False_None_False,0.253709625168266
KnuggetChase3_128_TRUE_auto_def,KnuggetChase3_4_0.1_auto_0.9_False_None_False,0.11346378608690241
KnuggetChase3_128_TRUE_auto_def,KnuggetChase3_4_0.1_auto_1.0_True_None_False,0.1530992334385026
KnuggetChase3_128_TRUE_auto_def,KnuggetChase3_4_0.1_auto_1.0_False_1_False,0.1627276492069024
KnuggetChase3_128_TRUE_auto_def,KnuggetChase3_4_0.1_auto_1.0_False_None_True,0.23798123310395167
KnuggetChase3_128_TRUE_auto_def,KnuggetChase3_512_1.0_auto_0.1_True_1_True,0.24874364214541905
KnuggetChase3_128_TRUE_auto_def,KnuggetChase3_256_1.0_auto_0.1_True_1_True,0.23646438944361975
CastMetal1_512_TRUE_auto_def,CastMetal1_100_auto_auto_1.0_False_None_False,0.8054963696197445
CastMetal1_512_TRUE_auto_def,CastMetal1_128_auto_auto_1.0_False_None_False,0.8176975802941105
CastMetal1_512_TRUE_auto_def,CastMetal1_256_auto_auto_1.0_False_None_False,0.8406232822533228
CastMetal1_512_TRUE_auto_def,CastMetal1_512_auto_auto_1.0_False_None_False,0.8464215341437452
CastMetal1_512_TRUE_auto_def,CastMetal1_512_0.8_auto_1.0_False_None_False,0.8385442291002713
CastMetal1_512_TRUE_auto_def,CastMetal1_512_0.7_auto_1.0_False_None_False,0.8175413484065175
CastMetal1_512_TRUE_auto_def,CastMetal1_512_auto_auto_0.9_False_None_False,0.8487100434559451
CastMetal1_512_TRUE_auto_def,CastMetal1_512_auto_auto_1.0_True_None_False,0.49807197259610425
CastMetal1_512_TRUE_auto_def,CastMetal1_512_auto_auto_1.0_False_1_False,0.8464829379810489
CastMetal1_512_TRUE_auto_def,CastMetal1_512_auto_auto_1.0_False_1_True,0.8445941501449795
CastMetal1_512_TRUE_auto_def,CastMetal1_256_auto_auto_1.0_False_1_False,0.8424506662520885
CastMetal1_512_TRUE_auto_def,CastMetal1_512_0.8_auto_1.0_False_1_False,0.834930596554464
CastMetal1_512_TRUE_auto_def,CastMetal1_512_0.7_auto_1.0_False_1_False,0.821205010286446
CastMetal1_512_TRUE_auto_def,CastMetal1_512_auto_auto_0.9_False_1_False,0.8424506662520885
CastMetal1_512_TRUE_auto_def,CastMetal1_512_auto_auto_1.0_True_1_False,0.49687299177376154
