Mat,R,ARI
CostaMadre1_0.1_256_auto,CostaMadre1_512_TRUE_auto_0.9,0.8583853133152707
CostaMadre1_IF_256_auto,CostaMadre1_512_TRUE_auto_0.9,0.8351043611153094
CostaMadre1_0.1_512_auto,CostaMadre1_512_TRUE_auto_0.9,0.8562021084721553
CostaMadre1_0.1_128_auto,CostaMadre1_512_TRUE_auto_0.9,0.8583853133152707
CostaMadre1_0.1_256_1,CostaMadre1_512_TRUE_auto_0.9,0.8562021084721553
CostaMadre1_0.1_256_0.5,CostaMadre1_512_TRUE_auto_0.9,0.8236281614612655
CostaMadre1_0.1_256_auto,CostaMadre1_512_TRUE_auto_0.8,0.8509666427117436
CostaMadre1_IF_256_auto,CostaMadre1_512_TRUE_auto_0.8,0.8277650100747843
CostaMadre1_0.1_512_auto,CostaMadre1_512_TRUE_auto_0.8,0.8487903926687852
CostaMadre1_0.1_128_auto,CostaMadre1_512_TRUE_auto_0.8,0.8509666427117436
CostaMadre1_0.1_256_1,CostaMadre1_512_TRUE_auto_0.8,0.8487903926687852
CostaMadre1_0.1_256_0.5,CostaMadre1_512_TRUE_auto_0.8,0.8161618305544666
KungChi3_0.1_100_auto,KungChi3_512_TRUE_auto_def,0.8719761287935518
KungChi3_IF_100_auto,KungChi3_512_TRUE_auto_def,0.8599004507073832
KungChi3_0.15_100_auto,KungChi3_512_TRUE_auto_def,0.7770327888007484
KungChi3_IF_128_auto,KungChi3_512_TRUE_auto_def,0.8553879071036434
KungChi3_IF_64_auto,KungChi3_512_TRUE_auto_def,0.8369096952335535
KungChi3_IF_100_0.5,KungChi3_512_TRUE_auto_def,0.8363149982654149
KungChi3_IF_100_auto,KungChi3_256_TRUE_auto_def,0.8599004507073832
KungChi3_0.15_100_auto,KungChi3_256_TRUE_auto_def,0.7770327888007484
KungChi3_0.1_100_auto,KungChi3_256_TRUE_auto_def,0.8719761287935518
KungChi3_IF_128_auto,KungChi3_256_TRUE_auto_def,0.8553879071036434
KungChi3_IF_64_auto,KungChi3_256_TRUE_auto_def,0.8369096952335535
