Filename,DefaultARI,DefaultF1,UninformedARI,UninformedF1,InformedARI,InformedF1
CastMetal1,0.9264070691898293,0.2696573943351863,0.9405153328559098,0.26173022337405893,0.9264070691898293,0.2696573943351863
CostaMadre1,0.8894684998198366,0.28223920504429717,0.9146943534733909,0.26497776271522,0.8940237365790311,0.29020930724102845
KnuggetChase3,0.8729405221943091,0.3460875954304316,0.956318830789474,0.3605492266370288,0.9508305861270405,0.364087129010314
KungChi3,0.8610123287645249,0.4327846597229244,0.9812344054567941,0.448790322580645,0.9101906345291517,0.4451808406647116
MeanWhile1,0.8648831601490901,0.2629881795937056,0.9542882806167519,0.2698372495264837,0.8648831601490901,0.2629881795937056
MegaWatt1,0.8604624498911734,0.2646788237043508,0.9546565081094663,0.2688212843595751,0.8667669211793813,0.26558950282257715
PieChart1,0.8854653011547711,0.29128841750626533,0.9174715680233858,0.2841473915903559,0.8854653011547711,0.29128841750626533
PieChart2,0.8880414035963888,0.10041950282885388,0.9674752288480826,0.10504301791780819,0.9193772425313019,0.1045996505687485
PieChart3,0.9083505008801808,0.18910136052186582,0.9361117708130158,0.14054257239643037,0.9083505008801808,0.18910136052186582
PizzaCutter1,0.9253538954314011,0.30002381263475614,0.9297624473924985,0.3011535104138733,0.9253538954314011,0.30002381263475614
PizzaCutter3,0.9120488959393764,0.17924557083652834,0.9685457159849042,0.17042542447314635,0.9346361126828964,0.19922986420843056
analcatdata_apnea1,0.2727478587402505,0.23208043290992614,1.0,0.22761194029850743,0.47670429580206275,0.23369807443887028
analcatdata_apnea2,0.3478562534247014,0.24461841070075688,1.0,0.23747680890538034,0.3478562534247014,0.24461841070075688
analcatdata_apnea3,0.34863604043384044,0.22255932633990838,1.0,0.2178217821782178,0.5738996256101702,0.22519195796575095
analcatdata_challenger,1.0,0.12121212121212119,1.0,0.12121212121212119,1.0,0.12121212121212119
analcatdata_chlamydia,0.6217782471283283,0.31871004812181286,1.0,0.31932773109243706,1.0,0.31932773109243706
analcatdata_lawsuit,0.8463273656049728,0.27016145097255106,0.9408247818571718,0.2600310230689193,0.8799618370662219,0.2705942148895896
analcatdata_neavote,0.7512648433765781,0.09470291365015686,0.9672074543897133,0.08677973070202484,0.8315391468152323,0.09938986535101238
annthyroid,0.8527562973975787,0.32599900059980164,0.9560574148293585,0.3098350192355814,0.8836503040039552,0.33076608816233627
appendicitis,0.8180570849906423,0.39631579582187487,0.9296629581773791,0.3753412478158084,0.8785926393417223,0.4770789729922454
ar1,0.8385499909314951,0.2867501017501017,0.9333260685055922,0.2771173143586937,0.8975868485558233,0.30363341894376367
ar3,0.8888188362400287,0.6598168214654283,0.9285838507716943,0.6418343653250774,0.8888188362400287,0.6598168214654283
ar4,0.9220101184682439,0.5213978494623654,0.9424284942784946,0.5232258064516129,0.9424284942784946,0.5232258064516129
ar6,0.880390003849491,0.3363335437376038,0.9504637043744563,0.34031198686371095,0.9390446647742,0.34984491881043595
arsenic-female-bladder,0.7042706855601477,0.2653917280792209,0.8711919281563321,0.28629312260706496,0.8711919281563321,0.28629312260706496
arsenic-female-lung,0.671138204196056,0.19432416145631973,0.8755771269583001,0.19054668538128597,0.671138204196056,0.19432416145631973
arsenic-male-bladder,0.7235859345267748,0.178894334295276,0.8887630160380836,0.18141136873609603,0.8245769947719714,0.18522632591090687
arsenic-male-lung,0.7154099545349778,0.17280686140502038,0.8748217256931171,0.162468350135696,0.7154099545349778,0.17280686140502038
backache,0.805925174888136,0.33473444969743227,0.9181104485199283,0.32476613874224325,0.8356137901113868,0.3452889664016018
breastw,0.9434926153849519,0.9368491058740094,0.9893213773069411,0.9393330888074477,0.9770137906051747,0.9411378978433491
cardio,0.754932947478948,0.525428643371137,0.9497030797476281,0.4040892551797969,0.7791676342401129,0.5337832660122868
climate-model-simulation-crashes,0.4576999919950052,0.17310204618968447,0.7726646233824109,0.16057312581156638,0.4798223597658089,0.17679069311628007
datatrieve,0.9069217740554384,0.3021437793892043,0.9772579593987244,0.3061943319838056,0.9188223790181087,0.3072880899068318
fertility,0.7139168457422886,0.21883883396439835,0.8889819670072863,0.22291618104118105,0.7723567631878339,0.2287301206857658
flare,0.8322043873607654,0.2855391570062464,0.9542888354128516,0.29898247969141634,0.8826139195000563,0.2959275261532509
glass,0.9010361126089332,0.09847820931386,0.9676272611403902,0.07271783463107151,0.9650622522571873,0.11721913236929918
ionosphere,0.8450305443810939,0.6879389102766537,0.9682703358444267,0.7079660262111656,0.8603089311516139,0.692500317545426
kc3,0.8728967886424858,0.3719037809896283,0.9668809202172599,0.38135343925781734,0.8798336108364503,0.37716618750429465
letter,0.6213140067232469,0.10058856929609394,0.8787307624723624,0.0814454220712235,0.6213140067232469,0.10058856929609394
lungcancer_GSE31210,0.7615462029734944,0.21434607014528884,0.9223851156804747,0.21986685318080051,0.7620731052541522,0.21835484842902245
lympho,0.7384472555660411,0.19600327442256482,0.929917828115667,0.1968694837147543,0.7384472555660411,0.19600327442256482
mw1,0.836118864964029,0.33128587601783754,0.939007113800956,0.35165450860187697,0.8684715401491528,0.3408667320814571
optdigits,0.6131211817246998,0.08664444695701876,0.876988972108544,0.048532263462315,0.6288224274557179,0.09783319630260891
pc1,0.9375556619325445,0.25807007865945586,0.9464893603039403,0.258251611858695,0.9464893603039403,0.258251611858695
pima,0.7788084186703522,0.3101792664828895,0.9113962075604695,0.3232295457699567,0.8878157600559174,0.3379504503487738
satellite,0.8795981722212307,0.5643193969819814,0.9483429222890446,0.5027899845061711,0.9462830466025486,0.5721280190143551
satimage-2,0.7883217461527475,0.21838285507836303,0.9295204618744113,0.29605063738314,0.8287302266238957,0.3024657851350857
thoracic_surgery,0.8059933420753208,0.28978002235345346,0.9342773007121442,0.3216653919769044,0.9342773007121442,0.3216653919769044
thyroid,0.8695988873609617,0.3830519179561543,0.9551667182053367,0.4589417508603722,0.9551667182053367,0.4589417508603722
vertebral,0.8235391762600236,0.025559258239321307,0.9363513310571311,0.036440732572808,0.8564673288970076,0.02924552037759582
visualizing_livestock,0.5542959600273625,0.2938841312606468,1.0,0.32258064516129037,1.0,0.32258064516129037
vowels,0.6467340540983834,0.1678589304531586,0.8554936475882897,0.2062731540104626,0.6858279219379897,0.18410060307585271
wbc,0.8861384835017935,0.5081863857555204,0.9726348793862698,0.5111785849223783,0.9498047191344774,0.520115198486941
wine,0.6953450331568432,0.2541089148152552,0.8914104227791115,0.28443701226309914,0.7752013537409012,0.3660940030595202
