Filename,Actual,IF,LOF,OCSVM
CastMetal1,0.12844036697247707,0.10275229357798166,0.04281345565749235,0.4954128440366973
CostaMadre1,0.12837837837837837,0.09966216216216216,0.04391891891891892,0.5
KnuggetChase3,0.18556701030927836,0.12628865979381443,0.10309278350515463,0.5
KungChi3,0.13008130081300814,0.13252032520325202,0.08130081300813008,0.4959349593495935
MeanWhile1,0.1067193675889328,0.10355731225296443,0.039525691699604744,0.4980237154150198
MegaWatt1,0.1067193675889328,0.10474308300395258,0.039525691699604744,0.4980237154150198
PieChart1,0.08652482269503546,0.08950354609929077,0.029787234042553193,0.49929078014184397
PieChart2,0.021476510067114093,0.07798657718120805,0.04563758389261745,0.4993288590604027
PieChart3,0.1244196843082637,0.08848653667595172,0.016713091922005572,0.49953574744661094
PizzaCutter1,0.07866868381240545,0.09667170953101362,0.018154311649016642,0.49924357034795763
PizzaCutter3,0.12176414189837009,0.08283796740172579,0.013422818791946308,0.49952061361457334
analcatdata_apnea1,0.12842105263157894,0.04336842105263158,0,0.48210526315789476
analcatdata_apnea2,0.13473684210526315,0.03263157894736842,0,0.48210526315789476
analcatdata_apnea3,0.12222222222222222,0.030444444444444444,0,0.4911111111111111
analcatdata_challenger,0.06521739130434782,0.34782608695652173,0.13043478260869565,0.4782608695652174
analcatdata_chlamydia,0.19,0.014,0,0.48
analcatdata_lawsuit,0.07196969696969698,0.3015151515151515,0.045454545454545456,0.5
analcatdata_neavote,0.07,0.409,0,0.49
annthyroid,0.07416666666666667,0.08911111111111111,0.03958333333333333,0.5
appendicitis,0.19811320754716982,0.22169811320754718,0.10377358490566038,0.4811320754716981
ar1,0.0743801652892562,0.15619834710743802,0.2231404958677686,0.49586776859504134
ar3,0.12698412698412698,0.14285714285714285,0.38095238095238093,0.49206349206349204
ar4,0.18691588785046728,0.10093457943925234,0.16822429906542055,0.48598130841121495
ar6,0.1485148514851485,0.1405940594059406,0.37623762376237624,0.49504950495049505
arsenic-female-bladder,0.14311270125223613,0.2565295169946333,0.06440071556350627,0.4669051878354204
arsenic-female-lung,0.03398926654740608,0.2744186046511628,0.06440071556350627,0.4669051878354204
arsenic-male-bladder,0.04293381037567084,0.254561717352415,0.05366726296958855,0.47048300536672627
arsenic-male-lung,0.023255813953488372,0.25438282647584975,0.05366726296958855,0.47048300536672627
backache,0.1388888888888889,0.19111111111111112,0.022222222222222223,0.5
breastw,0.34992679355783307,0.37510980966325036,0.24743777452415813,0.4978038067349927
cardio,0.0961223375204806,0.09819770617149098,0.0212998361551065,0.4980884762424904
climate-model-simulation-crashes,0.08518518518518518,0.28629629629629627,0,0.4981481481481482
datatrieve,0.08461538461538462,0.21384615384615385,0.05384615384615385,0.5
fertility,0.12,0.468,0,0.49
flare,0.17073170731707318,0.39559099437148215,0.21482176360225141,0.4803001876172608
glass,0.04205607476635514,0.10093457943925234,0.17289719626168223,0.5
ionosphere,0.358974358974359,0.2586894586894587,0.3475783475783476,0.49572649572649574
kc3,0.09388646288209607,0.12620087336244543,0.1331877729257642,0.5
letter,0.0625,0.0796875,0.005625,0.5
lungcancer_GSE31210,0.15486725663716813,0.10309734513274336,0.03982300884955752,0.49557522123893805
lympho,0.04054054054054054,0.3810810810810811,0,0.5
mammography,0.023249575248144506,0.13210229813109184,0.016900652776535813,0.3998926942680855
mnist,0.09206892016309351,0.22456924898066552,0.0009206892016309352,0.4999342364855978
musk,0.03167864141084259,0.11724363161332463,0,0.4996734160679295
mw1,0.07692307692307693,0.1064516129032258,0.02977667493796526,0.4987593052109181
optdigits,0.028757668711656442,0.2192101226993865,0.0017254601226993865,0.49980828220858897
pc1,0.06943192064923355,0.1,0.04959422903516682,0.4995491433724076
pendigits,0.022707423580786028,0.3953420669577875,0.013973799126637555,0.49970887918486173
pima,0.3489583333333333,0.14010416666666667,0.02734375,0.5
satellite,0.3163947163947164,0.16394716394716394,0.02035742035742036,0.4999222999222999
satimage-2,0.0122350508357746,0.09789763915216268,0.02378080303291401,0.4999138376701706
