,Filename,Configuration,Mean ARI,Min ARI
102,thyroid,Configure 1,0.16053665092053607,0.16053665092053604
103,vertebral,Configure 1,0.0014371352389476234,-0.0026850142641382784
104,visualizing_livestock,Configure 1,0.031223058049079037,-0.004373795739754727
105,vowels,Configure 1,0.011429894442039165,0.0025743591373844025
106,wbc,Configure 1,0.16887034420038002,0.16887034420038002
107,wine,Configure 1,0.004310044535004364,-0.0050153381701319565
108,CastMetal1,Configure 2,0.48425410483706377,0.4842541048370639
109,CostaMadre1,Configure 2,0.45925180646002695,0.4017343355633062
110,KnuggetChase3,Configure 2,0.5737220326315827,0.5737220326315827
111,KungChi3,Configure 2,0.5724114481543225,0.5724114481543227
112,MeanWhile1,Configure 2,0.3994541801353092,0.39945418013530914
113,MegaWatt1,Configure 2,0.42775986224678303,0.415055273269729
114,PieChart1,Configure 2,0.4526557847090794,0.45265578470907947
115,PieChart2,Configure 2,0.5557771855891307,0.49072478817144455
116,PieChart3,Configure 2,0.28767564252328365,0.28767564252328365
117,PizzaCutter1,Configure 2,0.4333794391723921,0.4333794391723921
118,PizzaCutter3,Configure 2,0.28045211136407733,0.2804521113640773
119,analcatdata_apnea1,Configure 2,0.3942149382656918,0.16542170706971843
120,analcatdata_apnea2,Configure 2,0.5146192672682178,0.27019722908853133
121,analcatdata_apnea3,Configure 2,0.47648979751115644,0.3234083963735179
122,analcatdata_challenger,Configure 2,0.021193009772941914,-0.011384802431610943
123,analcatdata_chlamydia,Configure 2,0.08095883602186978,-0.01667344448962993
124,analcatdata_lawsuit,Configure 2,0.6286200789176191,0.5537329142767758
125,analcatdata_neavote,Configure 2,0.055779060787702714,-0.007649027323208178
126,annthyroid,Configure 2,0.6992209415467652,0.6046019819379606
127,appendicitis,Configure 2,0.6028980461155391,0.4597925383174316
128,ar1,Configure 2,0.39154265846290887,0.39154265846290887
129,ar3,Configure 2,0.430302708866466,0.430302708866466
130,ar4,Configure 2,0.5020999745566223,0.5020999745566223
131,ar6,Configure 2,0.5076998296258968,0.5076998296258969
132,arsenic-female-bladder,Configure 2,0.002902631290339407,-0.010779267600030956
133,arsenic-female-lung,Configure 2,0.08954821552727027,0.04579001614559686
134,arsenic-male-bladder,Configure 2,-0.006430477290669726,-0.02252616422527075
135,arsenic-male-lung,Configure 2,-0.004355841616011841,-0.007805498429632986
136,backache,Configure 2,0.48158597941203496,0.4393373346976376
137,breastw,Configure 2,0.781722522804409,0.5705409520044081
138,cardio,Configure 2,0.6535758294094235,0.6125734283806916
139,climate-model-simulation-crashes,Configure 2,0.6364161446161113,0.5748714645517521
140,datatrieve,Configure 2,0.4354723576906494,0.35061113970117236
141,fertility,Configure 2,0.42083486994735597,0.3296812119733944
142,flare,Configure 2,0.6489721523681256,0.36501860338022
143,glass,Configure 2,0.7587209626151855,0.7527189965110856
144,ionosphere,Configure 2,0.8901887680578975,0.8495539557390873
145,kc3,Configure 2,0.2943375291080474,0.1960879824651576
146,letter,Configure 2,0.6087976971197906,0.5707854008377379
147,lungcancer_GSE31210,Configure 2,0.6474739025959344,0.5784869292467445
148,lympho,Configure 2,0.6528577783302956,0.4693002832604488
149,mw1,Configure 2,0.39976773622914663,0.3803830725779542
150,optdigits,Configure 2,0.6486316276553076,0.578878179872993
151,pc1,Configure 2,0.3852401025232375,0.3423878140025978
152,pima,Configure 2,0.6664073299315756,0.6083012228433097
153,satellite,Configure 2,0.6343336048855209,0.5991125934407988
154,satimage-2,Configure 2,0.7525541556000646,0.6682255849154088
155,thoracic_surgery,Configure 2,0.9118093412618107,0.8545947403448864
156,thyroid,Configure 2,0.6987973262185859,0.6723858796817339
157,vertebral,Configure 2,0.5606496888841837,0.4662196648117401
158,visualizing_livestock,Configure 2,0.04302154711108937,-0.10319609759100107
159,vowels,Configure 2,0.6581500642660657,0.6001188300995836
160,wbc,Configure 2,0.6012491671400402,0.5559213669281906
161,wine,Configure 2,0.5548648262772005,0.5312465881127749
162,CastMetal1,Configure 3,0.4561068101575598,0.30850920684290667
163,CostaMadre1,Configure 3,0.6099474786335728,0.5255892245479
164,KnuggetChase3,Configure 3,0.5552592937833295,0.5552592937833295
165,KungChi3,Configure 3,0.6343044286668453,0.6343044286668453
166,MeanWhile1,Configure 3,0.7565497985643483,0.7565497985643483
167,MegaWatt1,Configure 3,0.7565497985643483,0.7565497985643483
168,PieChart1,Configure 3,0.4333996447607598,0.1979900504388012
169,PieChart2,Configure 3,0.49906616916450747,0.31350325879560226
170,PieChart3,Configure 3,0.267410162951986,0.14310703854243523
171,PizzaCutter1,Configure 3,0.3806076754096517,0.2294214071707916
172,PizzaCutter3,Configure 3,0.22587276385783647,0.05434319511529867
173,analcatdata_challenger,Configure 3,-0.10597437761676738,-0.10597437761676737
174,analcatdata_lawsuit,Configure 3,0.549443978651665,0.3660773135877263
175,annthyroid,Configure 3,0.7345254150965026,0.6530306803729755
176,appendicitis,Configure 3,0.6575903484511143,0.6038566134835096
177,ar1,Configure 3,0.31302297698271564,0.31302297698271564
178,ar3,Configure 3,0.2107263066333863,0.1690776038121171
179,ar4,Configure 3,0.39142196728134293,0.39142196728134293
180,ar6,Configure 3,0.261935925683133,0.2450895019368824
181,arsenic-female-bladder,Configure 3,0.28211141067786427,0.264994681093625
182,arsenic-female-lung,Configure 3,0.2765768792705406,0.18087713420748153
183,arsenic-male-bladder,Configure 3,0.3645432112150692,0.2928058854845834
184,arsenic-male-lung,Configure 3,0.37895511985508523,0.3284695008691757
185,backache,Configure 3,0.3003934048717737,0.22463982450757083
186,breastw,Configure 3,0.4498452656365749,0.41292381806477607
187,cardio,Configure 3,0.2900186705415105,0.2727455051547513
188,datatrieve,Configure 3,0.4519925578845839,0.451992557884584
189,flare,Configure 3,0.6067476292856389,0.5045700408466179
190,glass,Configure 3,0.5356587196248115,0.48284264981910285
191,ionosphere,Configure 3,0.7931380268168553,0.7623913793919445
192,kc3,Configure 3,0.2960106941373486,0.24527855932023065
193,letter,Configure 3,0.17172220705142507,0.05379859209609799
194,lungcancer_GSE31210,Configure 3,0.6698802220274613,0.6339397623288381
195,mw1,Configure 3,0.6106280786716427,0.4038425919143651
196,optdigits,Configure 3,0.14675328293273715,0.09690688200559872
197,pc1,Configure 3,0.35761205513898636,0.1850248407535718
198,pima,Configure 3,0.2521106121136037,0.10885218405377496
199,satellite,Configure 3,0.22663787418506529,0.10698847849935714
200,satimage-2,Configure 3,0.6416339624338823,0.5874659459242755
201,thoracic_surgery,Configure 3,0.6586794726477436,0.48253751850834103
202,thyroid,Configure 3,0.601302238626116,0.5400902205904479
203,vertebral,Configure 3,0.49968514963810307,0.40463577305578025
204,vowels,Configure 3,0.19052861706642746,0.14284133639435478
205,wbc,Configure 3,0.5773283733878075,0.5477270684758012
206,wine,Configure 3,0.4928302572262462,0.427999531903076
207,CastMetal1,Configure 4,0.4702797606106179,0.38136314513669606
208,CostaMadre1,Configure 4,0.5485858971138293,0.5255892245479
209,KnuggetChase3,Configure 4,0.5552592937833295,0.5552592937833295
210,KungChi3,Configure 4,0.6343044286668453,0.6343044286668453
211,MeanWhile1,Configure 4,0.7565497985643483,0.7565497985643483
212,MegaWatt1,Configure 4,0.7565497985643483,0.7565497985643483
213,PieChart1,Configure 4,0.5144469164493712,0.337951202350861
214,PieChart2,Configure 4,0.5368809188730639,0.4379403840047717
215,PieChart3,Configure 4,0.2999354160501778,0.08956774476851842
216,PizzaCutter1,Configure 4,0.3723652674441898,0.14646470018399413
217,PizzaCutter3,Configure 4,0.15030157518518256,0.05434319511529867
218,analcatdata_challenger,Configure 4,-0.01117657382104445,-0.10597437761676737
219,analcatdata_lawsuit,Configure 4,0.558210223800909,0.4522907989397955
220,annthyroid,Configure 4,0.7071927119854471,0.6267899585774414
221,appendicitis,Configure 4,0.6379260879948846,0.4026409250941812
222,ar1,Configure 4,0.31302297698271564,0.31302297698271564
223,ar3,Configure 4,0.24293737236215113,0.2285757506996445
224,ar4,Configure 4,0.39142196728134293,0.39142196728134293
225,ar6,Configure 4,0.4819724698027933,0.4326251625083516
226,arsenic-female-bladder,Configure 4,0.29639978701531444,0.2935225637340237
227,arsenic-female-lung,Configure 4,0.29639978701531444,0.2935225637340237
228,arsenic-male-bladder,Configure 4,0.3363931213714609,0.11888168314699259
229,arsenic-male-lung,Configure 4,0.3826093588852518,0.3284695008691757
230,backache,Configure 4,0.4771517590549138,0.4771517590549137
231,breastw,Configure 4,0.5366915566776601,0.46307515142666444
232,cardio,Configure 4,0.2749388626433429,0.22973998628542863
233,datatrieve,Configure 4,0.4519925578845839,0.451992557884584
234,flare,Configure 4,0.49155833762930534,0.41371313506758634
235,glass,Configure 4,0.5607124963275194,0.5175455161978537
236,ionosphere,Configure 4,0.8221185311374952,0.7826790455339421
237,kc3,Configure 4,0.28203269603083037,0.21823665562642153
238,letter,Configure 4,0.1841775122085465,0.05379859209609799
239,lungcancer_GSE31210,Configure 4,0.7417611414247075,0.6339397623288381
240,mw1,Configure 4,0.67405358279815,0.67405358279815
241,optdigits,Configure 4,0.14676490575278853,0.04710309808531546
242,pc1,Configure 4,0.35682094730095504,0.26271096001786914
243,pima,Configure 4,0.27991882584002853,0.24723429027532062
244,satellite,Configure 4,0.376837343232115,0.33459370721727827
245,satimage-2,Configure 4,0.6491860198514854,0.6024659647604045
246,thoracic_surgery,Configure 4,0.4695573607308507,0.4161203560487523
247,thyroid,Configure 4,0.6309652098019802,0.5821752216290589
248,vertebral,Configure 4,0.500207398959984,0.40463577305578025
249,vowels,Configure 4,0.20642822614280618,0.14284133639435478
250,wbc,Configure 4,0.5885174893912232,0.5477270684758012
251,wine,Configure 4,0.5974366453519547,0.5469660158139908
