Filename,DefaultARI,DefaultF1,UninformedARI,UninformedF1,InformedARI,InformedF1
CastMetal1,-0.0065450057736905895,0.1253333333333333,0.9114456092731159,0.2769230769230769,0.875101031448654,0.2666666666666666
CostaMadre1,0.002505032511522967,0.08235294117647055,0.9117431654304972,0.1886792452830188,0.9117431654304972,0.1886792452830188
KnuggetChase3,0.0024250059634233208,0.12363636363636361,0.8519192632027488,0.20000000000000004,1.0,0.3272727272727272
KungChi3,-0.022192935116286283,0.11428571428571424,1.0,0.3529411764705882,1.0,0.3125
MeanWhile1,-0.007766564397853807,0.10384615384615377,0.989275341689084,0.1923076923076923,0.9258579066659698,0.19615384615384612
MegaWatt1,-0.0032564159271277543,0.12307692307692301,0.9790010765044311,0.19294199860237587,0.989275341689084,0.1923076923076923
PieChart1,-0.0013114752094798127,0.0961832061068702,0.9920646478636402,0.251497005988024,0.9920646478636402,0.251497005988024
PieChart2,-0.010346433751051825,0.026666666666666637,1.0,0.099009900990099,0.9154487533528339,0.14324324324324317
PieChart3,0.0016673451264674485,0.11404958677685943,0.9982943548398494,0.2808022922636103,0.9982943548398494,0.2808022922636103
PizzaCutter1,0.007969258149418772,0.07288135593220334,0.9927233052824546,0.2542372881355931,0.9927233052824546,0.2542372881355931
PizzaCutter3,-0.004236510330105826,0.10649350649350646,1.0,0.23321554770318018,1.0,0.23321554770318018
analcatdata_apnea1,-0.015116413998705096,0.10555555555555549,0.6349844725006974,0.22578163771712156,0.6349844725006974,0.22578163771712156
analcatdata_apnea2,-0.017971956425109126,0.12432432432432428,0.6237223294196552,0.24795532336515938,0.6237223294196552,0.24795532336515938
analcatdata_apnea3,0.008071900492369279,0.11599999999999995,0.49402485535225793,0.1384444444444444,0.49402485535225793,0.1384444444444444
analcatdata_challenger,0.2038778051622781,0.05714285714285714,0.28638730478549135,0.0476190476190476,0.2038778051622781,0.05714285714285714
analcatdata_chlamydia,0.07002469135802471,0.07586206896551724,0.5746063100137175,0.03448275862068965,0.07775034293552816,0.09655172413793102
analcatdata_lawsuit,0.005853908498987846,0.07999999999999993,0.8482832571606059,0.3084745762711864,0.8482832571606059,0.3084745762711864
analcatdata_neavote,0.01974759945130317,0.15294117647058822,1.0,0.0,0.01974759945130317,0.15294117647058822
annthyroid,0.9089613403499592,0.12727272727272726,0.9323487047284993,0.12924411400247826,0.9160838789008992,0.12949194547707554
appendicitis,0.7211124754767044,0.16874999999999996,0.8520210018207225,0.06875,0.7549392386839988,0.2062499999999999
ar1,0.07061315532756784,0.14285714285714285,0.9778056254315872,0.380952380952381,0.9778056254315872,0.380952380952381
ar3,0.0037792080034557583,0.11428571428571424,0.8105638168654151,0.588235294117647,0.8105638168654151,0.588235294117647
ar4,-0.017551143431425106,0.15483870967741925,1.0,0.5161290322580644,1.0,0.5161290322580644
ar6,0.010452242336300323,0.136,1.0,0.34482758620689646,0.938327231403684,0.3517241379310344
arsenic-female-bladder,0.005463879962455169,0.1117647058823529,0.8515106867378249,0.2367647058823529,0.8515106867378249,0.2367647058823529
arsenic-female-lung,-0.004627327638782355,0.07733333333333331,0.9411914465449469,0.4727272727272728,0.9085311607162705,0.392
arsenic-male-bladder,0.0019303686661531236,0.06749999999999999,0.9079380699918776,0.33000000000000007,0.9079380699918776,0.33000000000000007
arsenic-male-lung,0.001995839720144557,0.03768115942028984,0.8729649734450453,0.3768115942028985,0.8729649734450453,0.3768115942028985
backache,-0.0077376485508127875,0.12558139534883714,1.0,0.13793103448275862,0.9078054974899219,0.1395348837209302
breastw,0.0819745114254773,0.3224755700325733,0.8474484420813148,0.7693031266560678,0.8474484420813148,0.7693031266560678
cardio,0.05591233925289093,0.12646239554317545,0.8715152516438607,0.5537604456824513,0.8715152516438607,0.5537604456824513
climate-model-simulation-crashes,0.009275954771923263,0.10199999999999994,0.8237537429399792,0.16199999999999998,0.8237537429399792,0.16199999999999998
datatrieve,0.011019132814004622,0.06666666666666664,0.8809591517652302,0.1999999999999999,0.8809591517652302,0.1999999999999999
fertility,0.4316213991769548,0.13636363636363635,0.5388751714677641,0.16363636363636364,0.5388751714677641,0.16363636363636364
flare,0.5121779785039213,0.23052912341407145,0.775457943824907,0.16870304282476148,0.6233600579364149,0.2846967729830009
glass,0.5480652900637338,0.18666666666666665,0.8922046887703667,0.0933333333333333,0.5737270295843739,0.21999999999999997
ionosphere,0.1629134533098256,0.38260869565217387,0.9040375343848123,0.6691588785046728,0.9040375343848123,0.6691588785046728
kc3,0.060590321490606926,0.15280898876404492,0.9274790922669515,0.363816280806572,0.9335261226402385,0.3696744717304397
letter,-0.00034034443243777116,0.07615384615384613,0.7533863615459192,0.1283185840707964,0.7533863615459192,0.1283185840707964
lungcancer_GSE31210,0.004767362760268445,0.11034482758620683,0.9142609865980645,0.1304347826086956,0.8125018651371394,0.19999999999999996
lympho,0.005871916460444525,0.05714285714285712,0.7284153383195314,0.49523809523809526,0.769140726574101,0.3277777777777778
mw1,0.003554767903480404,0.08450704225352108,1.0,0.25757575757575746,0.9438415428432246,0.3506493506493506
optdigits,0.001158936573514431,0.03839285714285709,0.5604599387037148,0.04315476190476186,0.5604599387037148,0.04315476190476186
pc1,0.025355128948800192,0.07659574468085102,0.9982039384716473,0.20921720202941696,0.993884481086039,0.23045267489711926
