ContaminationFraction,KernelScale,Lambda,NumExpansionDimensions,StandardizeData,BetaTolerance,GradientTolerance,IterationLimit,F1_Median,F1_Range,ARI_Median
IF,0.01,auto,auto,0,0.0001,0.0001,1000,0.11362532326822046,0.2625869713587514,0.015892880832850224
IF,0.05,auto,auto,0,0.0001,0.0001,1000,0.1181663345245189,0.21759179869751183,0.028735465163498456
IF,0.1,auto,auto,0,0.0001,0.0001,1000,0.12078277977328446,0.24272813896000311,0.03997962578157949
IF,0.2,auto,auto,0,0.0001,0.0001,1000,0.1195219380390721,0.24718957263713612,0.04976818804178591
IF,0.5,auto,auto,0,0.0001,0.0001,1000,0.1298808709599997,0.19074148600990154,0.08271129954810759
IF,1,0.01,auto,0,0.0001,0.0001,1000,0.13590780311038694,0.2405643238553798,0.10757849343937592
IF,1,0.05,auto,0,0.0001,0.0001,1000,0.14107206724161608,0.17301368819593843,0.118414535136156
IF,1,0.1,auto,0,0.0001,0.0001,1000,0.13740228116870107,0.21985651704312018,0.12170968046048916
IF,1,0.2,auto,0,0.0001,0.0001,1000,0.13950924608760712,0.20383657309705883,0.12443747224130892
IF,1,0.5,auto,0,0.0001,0.0001,1000,0.1398572925125477,0.19143778736676545,0.1279946227821656
IF,1,1,auto,0,0.0001,0.0001,1000,0.14039305967583351,0.18786853395821526,0.12797746173610627
IF,1,2,auto,0,0.0001,0.0001,1000,0.14138511199348663,0.19544684532937975,0.12675624468761765
IF,1,5,auto,0,0.0001,0.0001,1000,0.13973557264274808,0.1907046865651758,0.12435885138387327
IF,1,auto,auto,0,1e-05,0.0001,1000,0.14048855947844363,0.20461478610424563,0.09737852565289239
IF,1,auto,auto,0,0.0001,1e-06,1000,0.14152965656289088,0.2223721349401906,0.10070841070302024
IF,1,auto,auto,0,0.0001,1e-05,1000,0.13911869865956075,0.19909568527865565,0.0989558756243208
IF,1,auto,auto,0,0.0001,0.0001,100,0.14365776227998456,0.21067606867728075,0.09715567085654593
IF,1,auto,auto,0,0.0001,0.0001,200,0.142666917643793,0.2026651277538976,0.09912071121464354
IF,1,auto,auto,0,0.0001,0.0001,500,0.14024979294166348,0.21762993036185507,0.09708146672674875
IF,1,auto,auto,0,0.0001,0.0001,1000,0.14152096321866825,0.19107496585077463,0.1029017771481186
IF,1,auto,auto,0,0.0001,0.0001,2000,0.14311042381880665,0.18558549866064059,0.09677152829667521
IF,1,auto,auto,0,0.0001,0.001,1000,0.13698132459611936,0.19710073138293033,0.13420930131214617
IF,1,auto,auto,0,0.001,0.0001,1000,0.14361254493608194,0.19231988323888854,0.09744011543795335
IF,1,auto,auto,0,0.01,0.0001,1000,0.14099034950439734,0.2090498544437228,0.09568072553433019
IF,1,auto,auto,1,0.0001,0.0001,1000,0.16965286978366306,0.18693901356501166,0.20498449964067583
IF,2,auto,auto,0,0.0001,0.0001,1000,0.14983297575782673,0.20339712217379027,0.16008094010452414
IF,5,auto,auto,0,0.0001,0.0001,1000,0.15404422805142734,0.16673170199226756,0.2149169622431056
IF,auto,0.01,auto,0,0.0001,0.0001,1000,0.21746396382008037,0.08583860865334667,0.6322435203625799
IF,auto,0.05,auto,0,0.0001,0.0001,1000,0.24750119985609334,0.07565894606138948,0.7604527631981278
IF,auto,0.1,auto,0,0.0001,0.0001,1000,0.2597711400018538,0.0747832649745681,0.7872346814607226
IF,auto,0.2,auto,0,0.0001,0.0001,1000,0.2620570351389291,0.045831009528783356,0.7957657482292677
IF,auto,0.5,auto,0,0.0001,0.0001,1000,0.263580557517345,0.04935732433975531,0.778356857208557
IF,auto,1,auto,0,0.0001,0.0001,1000,0.26206658605972566,0.04902250796870905,0.7629648623837462
IF,auto,2,auto,0,0.0001,0.0001,1000,0.2636677427872871,0.0422537103292052,0.7613900745012158
IF,auto,5,auto,0,0.0001,0.0001,1000,0.26300176017723326,0.04679106698019927,0.7760986062757903
IF,auto,auto,auto,0,1e-05,0.0001,1000,0.2581688376716218,0.06815563250620854,0.7695359803025825
IF,auto,auto,auto,0,0.0001,1e-06,1000,0.2596051186274945,0.0515940498563897,0.7696430863481104
IF,auto,auto,auto,0,0.0001,1e-05,1000,0.25918843085103854,0.07825844493786753,0.7774115184197775
IF,auto,auto,auto,0,0.0001,0.0001,100,0.26167755021728845,0.08667315527092008,0.769794703115095
IF,auto,auto,auto,0,0.0001,0.0001,200,0.2557308458899544,0.065714569013112,0.7742857219540346
IF,auto,auto,auto,0,0.0001,0.0001,500,0.2568244664059411,0.09077869505003787,0.7766496963268785
IF,auto,auto,auto,0,0.0001,0.0001,1000,0.2432158337446995,0.06681990685027833,0.7872018857034966
IF,auto,auto,auto,0,0.0001,0.0001,2000,0.2604824458551229,0.06467144881661827,0.7760128105533637
IF,auto,auto,auto,0,0.0001,0.001,1000,0.2593789687770166,0.052818389976391225,0.7703265710639313
IF,auto,auto,auto,0,0.001,0.0001,1000,0.2586445891121278,0.05762924203042559,0.7785241342546904
IF,auto,auto,auto,0,0.01,0.0001,1000,0.25830493383159014,0.06606803696513017,0.7643989385896975
IF,auto,auto,auto,1,0.0001,0.0001,1000,0.25471478059038144,0.07529719898287755,0.7855979930814946
LOF,1,auto,auto,0,0.0001,0.0001,1000,0.09247712909934469,0.3487185550917062,0.2612048072142405
LOF,auto,1,auto,0,0.0001,0.0001,1000,0.19939502101569745,0.08317534384004006,0.7564748491977249
LOF,auto,auto,auto,0,0.0001,0.0001,1000,0.2008639715625851,0.09961647203509225,0.8155356134754563
