,Parameter,GeoMean,Min,Rank
0,n_estimators,0.423960374570592,1.6889509098030458e-19,1.0
1,max_samples,0.46240263028525574,0.00018492409121821838,2.0
2,max_features,0.473135716946796,0.01983803832964631,3.0
3,bootstrap,0.49250588530885797,0.2745315562261308,4.0
4,n_jobs,0.5007816065330928,0.4498804089782399,6.0
5,warm_start,0.5003826514958281,0.43049284088750717,5.0
