Filename,ntrees,standardize_data,sample_size,ncols_per_tree,Parameter_Iteration,F1_Median,F1_Range,ARI_Median
CastMetal1,2,True,auto,def,0,0.20610342192441503,0.30673066849693276,0.28720408374685163
CastMetal1,4,True,auto,def,0,0.2182847075143764,0.20293147689593016,0.5092471127879692
CastMetal1,8,True,auto,def,0,0.18109775408492598,0.10211077362656062,0.6513888188552474
CastMetal1,16,True,auto,def,0,0.16764774118775558,0.12815368609758596,0.7647405205368167
CastMetal1,32,True,auto,def,0,0.15214546603631102,0.08552631578947337,0.8926957932417475
CastMetal1,64,True,auto,def,0,0.17563046385673972,0.1097528567632212,0.8821984188438006
CastMetal1,100,True,auto,def,0,0.1800311491386805,0.05827097595924229,0.9014867134352782
CastMetal1,128,True,auto,def,0,0.19416323482919845,0.038053649407361355,0.9206232930212404
CastMetal1,256,True,auto,def,0,0.18736596736596733,0.0,0.9852121949602431
CastMetal1,512,True,auto,def,0,0.20834064969271288,0.0,0.9911914416807883
CastMetal1,512,False,auto,def,0,0.2979071537290715,0.005181347150259073,0.976386173629888
CastMetal1,512,True,0.1,def,0,0.27964451552712244,0.004081632653061173,0.9747221717415278
CastMetal1,512,True,0.2,def,0,0.2972585160567857,0.0,0.9883100679451233
CastMetal1,512,True,0.3,def,0,0.28545975395263035,0.014979800507668657,0.970798833276774
CastMetal1,512,True,0.4,def,0,0.3081020245577207,0.0,0.9892179712041673
CastMetal1,512,True,0.5,def,0,0.2834586466165413,0.0,0.9960150955689814
CastMetal1,512,True,0.6,def,0,0.2266398390342052,0.007092198581560258,0.9878408101203046
CastMetal1,512,True,0.7,def,0,0.2413715084947962,0.005093378607809891,0.9880451001883153
CastMetal1,512,True,0.8,def,0,0.2158230542676348,0.057800560519318644,0.9725983824403602
CastMetal1,512,True,0.9,def,0,0.20231884057971006,0.0,0.991677513965002
CastMetal1,512,True,auto,0.1,0,0.21117141564902758,0.00562851782363975,0.9880790683109094
CastMetal1,512,True,auto,0.2,0,0.20772607550482877,0.007407407407407548,0.9835421609778567
CastMetal1,512,True,auto,0.3,0,0.20267778753292362,0.00554528650646964,0.9551093420475637
CastMetal1,512,True,auto,0.4,0,0.15664335664335657,0.0,0.9947232647565581
CastMetal1,512,True,auto,0.5,0,0.20803336259877084,0.00554528650646964,0.9884387672060345
CastMetal1,512,True,auto,0.6,0,0.2031969309462915,0.0,0.9951872721288134
CastMetal1,512,True,auto,0.7,0,0.19932992380753572,0.07315586532218525,0.9634353806495709
CastMetal1,512,True,auto,0.8,0,0.18446005267778753,0.0,0.9911914416807883
CastMetal1,512,True,auto,0.9,0,0.2058823529411764,0.0,1.0
CastMetal1,512,True,auto,1,0,0.20834064969271288,0.0,0.9911914416807883
CostaMadre1,2,True,auto,def,0,0.23445577380797883,0.15875983005040156,0.3388949305759762
CostaMadre1,4,True,auto,def,0,0.1978714142929739,0.270184872955456,0.4520024603884546
CostaMadre1,8,True,auto,def,0,0.1929592933730909,0.10093011201658653,0.5548717474678831
CostaMadre1,16,True,auto,def,0,0.2567247813220702,0.07295764520225889,0.7446876313986592
CostaMadre1,32,True,auto,def,0,0.2624244755922871,0.06542056074766368,0.8761918100020891
CostaMadre1,64,True,auto,def,0,0.2548116380527713,0.028675527967073833,0.8853546765652516
CostaMadre1,100,True,auto,def,0,0.25643944163246124,0.008000000000000231,0.9753415685871747
CostaMadre1,128,True,auto,def,0,0.2498954949510211,0.0,0.9717558173205437
CostaMadre1,256,True,auto,def,0,0.24322580645161293,0.050328227571116116,0.9708371273519438
CostaMadre1,512,True,auto,def,0,0.25807794649677257,0.0,0.9811369627719595
CostaMadre1,512,False,auto,def,0,0.3076121794871794,0.0,0.9902573944205288
CostaMadre1,512,True,0.1,def,0,0.29066143708345543,0.007953334919173818,0.9816932758919609
CostaMadre1,512,True,0.2,def,0,0.29851097178683383,0.0,0.9966446059129414
CostaMadre1,512,True,0.3,def,0,0.29814814814814816,0.006211180124223611,0.9899024704633624
CostaMadre1,512,True,0.4,def,0,0.2890977443609023,0.0,0.9961502330965606
CostaMadre1,512,True,0.5,def,0,0.30388127853881275,0.0068965517241379995,0.9890094672141537
CostaMadre1,512,True,0.6,def,0,0.26450493240774564,0.0072992700729927204,0.9851995426109541
CostaMadre1,512,True,0.7,def,0,0.2727397975159169,0.0,0.983148179213625
CostaMadre1,512,True,0.8,def,0,0.2539682539682539,0.0,1.0
CostaMadre1,512,True,0.9,def,0,0.2539682539682539,0.0,1.0
CostaMadre1,512,True,auto,0.1,0,0.2689421390999415,0.008403361344537926,0.9760121305950362
CostaMadre1,512,True,auto,0.2,0,0.2539682539682539,0.0,1.0
CostaMadre1,512,True,auto,0.3,0,0.2568356374807988,0.005988023952096036,0.98779228037918
CostaMadre1,512,True,auto,0.4,0,0.2564260112647209,0.008000000000000231,0.9860483204333484
CostaMadre1,512,True,auto,0.5,0,0.23254933561649577,0.008130081300812914,0.9781299165443946
CostaMadre1,512,True,auto,0.6,0,0.25724526369687667,0.0,0.9906988802888991
CostaMadre1,512,True,auto,0.7,0,0.2547875064004096,0.0,0.990698880288899
CostaMadre1,512,True,auto,0.8,0,0.24949762030671607,0.04329235702832726,0.9874039362559839
CostaMadre1,512,True,auto,0.9,0,0.24173822534478268,0.050592034445640505,0.9705846031350659
CostaMadre1,512,True,auto,1,0,0.2572586940646169,0.005988023952096036,0.9765236880429419
KnuggetChase3,2,True,auto,def,0,0.29688831413851446,0.1267913549187023,0.24991814454730432
KnuggetChase3,4,True,auto,def,0,0.2916204162646191,0.16448542021274912,0.433129379946968
KnuggetChase3,8,True,auto,def,0,0.29212796273801556,0.10726864308746685,0.6683575269815462
KnuggetChase3,16,True,auto,def,0,0.2754295003182553,0.06292504832128287,0.7454834230501514
KnuggetChase3,32,True,auto,def,0,0.27334002126454954,0.046196024674434594,0.8933147417357451
KnuggetChase3,64,True,auto,def,0,0.25860984890279826,0.016199028917629858,0.9093814937451251
KnuggetChase3,100,True,auto,def,0,0.27089801882254705,0.04854368932038845,0.9352158986158017
KnuggetChase3,128,True,auto,def,0,0.2636911795402361,0.018518518518518563,0.9553697526862602
KnuggetChase3,256,True,auto,def,0,0.2888215488215488,0.0,0.9612285120141146
KnuggetChase3,512,True,auto,def,0,0.26242424242424234,0.0,0.9928088052242288
KnuggetChase3,512,False,auto,def,0,0.36156141376234274,0.02903225806451607,0.978867700406583
KnuggetChase3,512,True,0.1,def,0,0.4022786842250416,0.016610452919804793,0.9548222409767884
KnuggetChase3,512,True,0.2,def,0,0.40880522985786144,0.006451612903225924,0.9749177459688008
KnuggetChase3,512,True,0.3,def,0,0.4057971014492753,0.0,1.0
KnuggetChase3,512,True,0.4,def,0,0.374478021978022,0.013668470782497118,0.9699829197994508
KnuggetChase3,512,True,0.5,def,0,0.35542041248016926,0.0,0.9941704511617555
