,Filename,ContaminationFraction,NumLearners,NumObservationsPerLearner,Parameter_Iteration,F1_Median,F1_Range,ARI_Median
75,KungChi3,LOF,100,auto,0,0.27692307692307694,0.14285714285714302,0.877291134658707
76,KungChi3,IF,100,auto,0,0.4262096774193548,0.0,0.9175132800251782
77,KungChi3,0,1,auto,0,0.0,0.0,1.0
78,KungChi3,0,2,auto,0,0.0,0.0,1.0
79,KungChi3,0,4,auto,0,0.0,0.0,1.0
80,KungChi3,0,8,auto,0,0.0,0.0,1.0
81,KungChi3,0,16,auto,0,0.0,0.0,1.0
82,KungChi3,0,32,auto,0,0.0,0.0,1.0
83,KungChi3,0,64,auto,0,0.0,0.0,1.0
84,KungChi3,0,128,auto,0,0.0,0.0,1.0
85,KungChi3,0,256,auto,0,0.0,0.0,1.0
86,KungChi3,0,512,auto,0,0.0,0.0,1.0
87,KungChi3,0,100,0.05,0,0.0,0.0,1.0
88,KungChi3,0,100,0.1,0,0.0,0.0,1.0
89,KungChi3,0,100,0.2,0,0.0,0.0,1.0
90,KungChi3,0,100,0.5,0,0.0,0.0,1.0
91,KungChi3,0,100,1,0,0.0,0.0,1.0
92,MeanWhile1,0,100,auto,0,0.0,0.0,1.0
93,MeanWhile1,0.05,100,auto,0,0.11000000000000001,0.0,0.9208265436953104
94,MeanWhile1,0.1,100,auto,0,0.24230769230769225,0.07692307692307705,0.8522665261978387
95,MeanWhile1,0.15,100,auto,0,0.2587980769230769,0.05882352941176472,0.8936974723924039
96,MeanWhile1,0.2,100,auto,0,0.2948717948717948,0.10869565217391296,0.8247229425880492
97,MeanWhile1,0.25,100,auto,0,0.2933333333333333,0.037037037037037195,0.8546717120978724
98,MeanWhile1,LOF,100,auto,0,0.10810810810810809,0.0,0.9577585208438841
99,MeanWhile1,IF,100,auto,0,0.23514328808446452,0.05882352941176479,0.8298217558255225
100,MeanWhile1,0,1,auto,0,0.0,0.0,1.0
101,MeanWhile1,0,2,auto,0,0.0,0.0,1.0
102,MeanWhile1,0,4,auto,0,0.0,0.0,1.0
103,MeanWhile1,0,8,auto,0,0.0,0.0,1.0
104,MeanWhile1,0,16,auto,0,0.0,0.0,1.0
105,MeanWhile1,0,32,auto,0,0.0,0.0,1.0
106,MeanWhile1,0,64,auto,0,0.0,0.0,1.0
107,MeanWhile1,0,128,auto,0,0.0,0.0,1.0
108,MeanWhile1,0,256,auto,0,0.0,0.0,1.0
109,MeanWhile1,0,512,auto,0,0.0,0.0,1.0
110,MeanWhile1,0,100,0.05,0,0.0,0.0,1.0
111,MeanWhile1,0,100,0.1,0,0.0,0.0,1.0
112,MeanWhile1,0,100,0.2,0,0.0,0.0,1.0
113,MeanWhile1,0,100,0.5,0,0.0,0.0,1.0
114,MeanWhile1,0,100,1,0,0.0,0.0,1.0
115,MegaWatt1,0,100,auto,0,0.0,0.0,1.0
116,MegaWatt1,0.05,100,auto,0,0.125,0.19999999999999996,0.9072072564869352
117,MegaWatt1,0.1,100,auto,0,0.24999999999999994,0.07692307692307705,0.8695522636524847
118,MegaWatt1,0.15,100,auto,0,0.2492307692307692,0.0,0.8678651066556611
119,MegaWatt1,0.2,100,auto,0,0.2879120879120879,0.006451612903225686,0.811108038896103
120,MegaWatt1,0.25,100,auto,0,0.29555555555555546,0.0,0.8674604349598797
121,MegaWatt1,LOF,100,auto,0,0.10810810810810809,0.0,0.9577585208438842
122,MegaWatt1,IF,100,auto,0,0.25087351502445837,0.05688202247191016,0.8600289363994397
123,MegaWatt1,0,1,auto,0,0.0,0.0,1.0
124,MegaWatt1,0,2,auto,0,0.0,0.0,1.0
125,MegaWatt1,0,4,auto,0,0.0,0.0,1.0
