,Filename,Configuration,Mean ARI,Min ARI
0,CastMetal1,Default,0.014900184231046316,0
1,KnuggetChase3,Default,0.00021370899114484679,0
2,MeanWhile1,Default,0.2258635051914438,0
3,MegaWatt1,Default,0.2258635051914438,0
4,PieChart1,Default,0.021689924994343086,0
5,PieChart2,Default,0.1311523640012312,0
6,PizzaCutter1,Default,0.06582258190209715,0
7,analcatdata_apnea1,Default,0.5388671070106332,0
8,analcatdata_apnea2,Default,0.5388671070106332,0
9,analcatdata_apnea3,Default,0.6179941514511298,0
10,analcatdata_challenger,Default,0.04027673028949353,0
11,analcatdata_chlamydia,Default,0.772104805341358,0
12,analcatdata_lawsuit,Default,0.7448977982461674,0
13,analcatdata_neavote,Default,0.6044056963032804,0
14,annthyroid,Default,-5.4617008445712475e-05,0
15,appendicitis,Default,-0.008020341445695604,0
16,ar1,Default,0.006649026392563946,0
17,ar3,Default,0.10267424584975131,0
18,ar4,Default,0.07959635690216599,0
19,ar6,Default,0.08796303535408816,0
20,backache,Default,0.01225967540574282,0
21,breastw,Default,0.3134468892694109,0
22,cardio,Default,0.112334325991507,0
23,climate-model-simulation-crashes,Default,0.23398350253227923,0
24,datatrieve,Default,0.41320826209509726,0
25,fertility,Default,0.022591797543641576,0
26,flare,Default,-0.00010661048038868688,0
27,glass,Default,-0.00429603062095934,0
28,ionosphere,Default,0.027606566891714247,0
29,kc3,Default,0.008029600490224725,0
30,letter,Default,0.41565956110896607,0
31,lungcancer_GSE31210,Default,0.001916439837088134,0
32,lympho,Default,-0.006829165791132591,0
33,mw1,Default,0.20428704034518433,0
34,optdigits,Default,-0.00018509705975484268,0
35,pima,Default,0.19725662822623452,0
36,satellite,Default,0.35284804122979657,0
37,satimage-2,Default,0.2528960092562505,0
38,thoracic_surgery,Default,0.043229366916639894,0
39,thyroid,Default,-0.00023079783320344586,0
40,vertebral,Default,0.4762113456432815,0
41,visualizing_livestock,Default,0.41296942104840484,0
42,vowels,Default,-0.0006610335671433911,0
43,wbc,Default,0.0015826583838214909,0
44,wine,Default,0.013991135817307692,0
45,CastMetal1,Configure 1,0.3558905265897497,0
46,CostaMadre1,Configure 1,0.4719676952419764,0
47,KnuggetChase3,Configure 1,0.015880746517314092,0
48,KungChi3,Configure 1,-0.10582613067152834,0
49,MeanWhile1,Configure 1,0.34947818605671493,0
50,MegaWatt1,Configure 1,0.34947818605671493,0
51,PieChart1,Configure 1,0.025045923615528518,0
52,PieChart2,Configure 1,0.05612467216240506,0
53,PizzaCutter1,Configure 1,-0.10185353392643706,0
54,analcatdata_apnea1,Configure 1,0.49647953640500336,0
55,analcatdata_apnea2,Configure 1,0.49647953640500336,0
56,analcatdata_apnea3,Configure 1,0.4284173667273766,0
57,analcatdata_challenger,Configure 1,0.35759429153924566,0
58,analcatdata_chlamydia,Configure 1,0.5290423861852434,0
59,analcatdata_lawsuit,Configure 1,0.7839747975376146,0
60,analcatdata_neavote,Configure 1,0.5522555609451875,0
61,annthyroid,Configure 1,-8.536804539838334e-05,0
62,appendicitis,Configure 1,0.001317984307749336,0
63,ar1,Configure 1,0.29711382206861825,0
64,ar3,Configure 1,-0.08573585678272998,0
65,ar4,Configure 1,0.037957773575450986,0
66,ar6,Configure 1,-0.015156579441354588,0
