Filename,ContaminationFraction,NumLearners,NumObservationsPerLearner,Parameter_Iteration,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9
CastMetal1,0,100,auto,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CastMetal1,0.05,100,auto,0,0.13793103448275862,0.13793103448275862,0.13793103448275862,0.13793103448275862,0.13793103448275862,0.10526315789473682,0.13793103448275862,0.13793103448275862,0.13793103448275862,0.13793103448275862
CastMetal1,0.1,100,auto,0,0.26666666666666666,0.23999999999999996,0.2432432432432432,0.23999999999999996,0.23999999999999996,0.21333333333333335,0.23999999999999996,0.26666666666666666,0.23999999999999996,0.26666666666666666
CastMetal1,0.15,100,auto,0,0.26373626373626374,0.26373626373626374,0.26373626373626374,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.26373626373626374,0.2857142857142857,0.2857142857142857,0.2857142857142857
CastMetal1,0.2,100,auto,0,0.2616822429906542,0.2616822429906542,0.2641509433962264,0.28037383177570097,0.2616822429906542,0.2429906542056075,0.2641509433962264,0.28037383177570097,0.2616822429906542,0.2616822429906542
CastMetal1,0.25,100,auto,0,0.27419354838709675,0.27419354838709675,0.26016260162601623,0.29032258064516125,0.27419354838709675,0.2786885245901639,0.24193548387096775,0.27419354838709675,0.2580645161290323,0.29032258064516125
CastMetal1,LOF,100,auto,0,0.11111111111111112,0.10714285714285714,0.10714285714285714,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
CastMetal1,IF,100,auto,0,0.21333333333333335,0.26666666666666666,0.26666666666666666,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.21333333333333335,0.23999999999999996,0.26666666666666666
CastMetal1,0,1,auto,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CastMetal1,0,2,auto,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CastMetal1,0,4,auto,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CastMetal1,0,8,auto,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CastMetal1,0,16,auto,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CastMetal1,0,32,auto,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CastMetal1,0,64,auto,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CastMetal1,0,100,auto,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CastMetal1,0,128,auto,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CastMetal1,0,256,auto,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CastMetal1,0,512,auto,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CastMetal1,0,100,auto,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CastMetal1,0,100,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CastMetal1,0,100,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CastMetal1,0,100,0.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CastMetal1,0,100,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CastMetal1,0,100,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CostaMadre1,0,100,auto,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CostaMadre1,0.05,100,auto,0,0.1509433962264151,0.1509433962264151,0.18867924528301885,0.11320754716981134,0.1509433962264151,0.18867924528301885,0.1509433962264151,0.11320754716981134,0.11320754716981134,0.18867924528301885
CostaMadre1,0.1,100,auto,0,0.2647058823529412,0.2647058823529412,0.23880597014925373,0.2647058823529412,0.23529411764705882,0.23529411764705882,0.2647058823529412,0.2647058823529412,0.2647058823529412,0.29411764705882354
CostaMadre1,0.15,100,auto,0,0.2682926829268293,0.2682926829268293,0.2682926829268293,0.2682926829268293,0.2682926829268293,0.2716049382716049,0.2682926829268293,0.2682926829268293,0.2682926829268293,0.2682926829268293
CostaMadre1,0.2,100,auto,0,0.288659793814433,0.288659793814433,0.24742268041237114,0.288659793814433,0.26804123711340205,0.24742268041237114,0.26804123711340205,0.288659793814433,0.26804123711340205,0.26804123711340205
CostaMadre1,0.25,100,auto,0,0.26785714285714285,0.26785714285714285,0.26785714285714285,0.26785714285714285,0.26785714285714285,0.25,0.26785714285714285,0.28571428571428575,0.26785714285714285,0.28571428571428575
CostaMadre1,LOF,100,auto,0,0.11764705882352941,0.0784313725490196,0.11764705882352941,0.11764705882352941,0.1568627450980392,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.0784313725490196,0.11764705882352941
CostaMadre1,IF,100,auto,0,0.31884057971014496,0.2608695652173913,0.23188405797101447,0.2608695652173913,0.23529411764705882,0.2898550724637681,0.2608695652173913,0.31884057971014496,0.2608695652173913,0.2608695652173913
CostaMadre1,0,1,auto,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CostaMadre1,0,2,auto,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
