Filename,Determinism_Default,Performance_Default,Determinism_CS2,Performance_CS2,Performance_Improve,Determinism_Improve
CastMetal1,0.9264070691898292,0.2696573943351863,0.9884932025710936,0.2718558558558557,0.0021984615206693814,0.06208613338126445
CostaMadre1,0.8894684998198366,0.2822392050442971,0.9364192146323044,0.2847274148152111,0.0024882097709139628,0.04695071481246782
KnuggetChase3,0.8729405221943091,0.3460875954304316,0.963394151398442,0.3649041400388996,0.01881654460846799,0.09045362920413291
KungChi3,0.8610123287645249,0.4327846597229244,0.9478991176256812,0.435851661779081,0.0030670020561566202,0.0868867888611563
MeanWhile1,0.8648831601490901,0.2629881795937056,0.958020880230781,0.2703276131933179,0.0073394335996123106,0.09313772008169097
MegaWatt1,0.8604624498911734,0.2646788237043508,0.9501545568591296,0.2720545416683041,0.00737571796395331,0.08969210696795626
PieChart1,0.8854653011547711,0.2912884175062653,0.9527841844277856,0.2820569724535601,-0.009231445052705178,0.0673188832730145
PieChart2,0.8880414035963888,0.1004195028288538,0.9467507551016489,0.0991562097830566,-0.001263293045797198,0.05870935150526002
PieChart3,0.9083505008801808,0.1891013605218658,0.956755864287476,0.1861956271884651,-0.0029057333334006896,0.04840536340729529
PizzaCutter1,0.9253538954314012,0.3000238126347561,0.9342484823336378,0.2953662928154,-0.004657519819356082,0.008894586902236545
PizzaCutter3,0.9120488959393764,0.1792455708365283,0.9493414346181804,0.1896449518149904,0.010399380978462075,0.037292538678804
analcatdata_apnea1,0.2727478587402505,0.2320804329099261,1.0,0.2276119402985074,-0.004468492611418712,0.7272521412597495
analcatdata_apnea2,0.3478562534247014,0.2446184107007568,1.0,0.2374768089053803,-0.007141601795376484,0.6521437465752986
analcatdata_apnea3,0.3486360404338404,0.2225593263399083,1.0,0.2178217821782178,-0.0047375441616905045,0.6513639595661596
analcatdata_challenger,1.0,0.1212121212121211,1.0,0.114942528735632,-0.0062695924764891026,0.0
analcatdata_chlamydia,0.6217782471283283,0.3187100481218128,1.0,0.319327731092437,0.0006176829706242004,0.3782217528716717
analcatdata_lawsuit,0.8463273656049728,0.270161450972551,0.9040418406341348,0.2771400959874422,0.006978645014891205,0.05771447502916205
analcatdata_neavote,0.7512648433765781,0.0947029136501568,0.872226080745118,0.089336373274137,-0.005366540376019802,0.12096123736853992
annthyroid,0.8527562973975787,0.3259990005998016,0.934992071897966,0.327007859208217,0.0010088586084154305,0.08223577450038722
appendicitis,0.8180570849906423,0.3963157958218748,0.9495578006890038,0.3998920752389762,0.003576279417101369,0.13150071569836141
ar1,0.8385499909314951,0.2867501017501017,0.8907334843323327,0.2862919456022904,-0.0004581561478113061,0.05218349340083761
ar3,0.8888188362400287,0.6598168214654283,0.8894083553859087,0.6589138286893704,-0.000902992776057876,0.0005895191458800131
ar4,0.922010118468244,0.5213978494623654,0.975581620654056,0.5299999999999999,0.008602150537634468,0.05357150218581197
ar6,0.880390003849491,0.3363335437376038,0.9609706777162644,0.3413793103448275,0.005045766607223667,0.08058067386677348
arsenic-female-bladder,0.7042706855601477,0.2653917280792209,0.8124153907646521,0.2646925490622176,-0.0006991790170032819,0.10814470520450437
arsenic-female-lung,0.671138204196056,0.1943241614563197,0.8401652278457942,0.1919568238307219,-0.002367337625597793,0.1690270236497382
arsenic-male-bladder,0.7235859345267748,0.178894334295276,0.825756607913802,0.1846453431751747,0.005751008879898711,0.10217067338702723
arsenic-male-lung,0.7154099545349778,0.1728068614050203,0.8508401667778381,0.1801744740530023,0.007367612647981997,0.13543021224286034
backache,0.805925174888136,0.3347344496974322,0.9019221381827526,0.3049126748540807,-0.029821774843351523,0.0959969632946166
breastw,0.943492615384952,0.9368491058740094,0.9833418393856508,0.9425255586788556,0.005676452804846188,0.03984922400069879
cardio,0.754932947478948,0.525428643371137,0.8872485713198545,0.5100097958204376,-0.015418847550699444,0.13231562384090645
climate-model-simulation-crashes,0.4576999919950052,0.1731020461896844,0.6979355280486873,0.1756298130079352,0.002527766818250815,0.24023553605368209
datatrieve,0.9069217740554384,0.3021437793892043,0.9612321718030404,0.301575984990619,-0.0005677943985852862,0.054310397747602046
fertility,0.7139168457422886,0.2188388339643983,0.8888807323571662,0.2118954355565417,-0.006943398407856599,0.1749638866148776
flare,0.8322043873607654,0.2855391570062464,0.94089271334026,0.2908349930405355,0.005295836034289125,0.10868832597949463
glass,0.9010361126089332,0.09847820931386,0.9547327050390771,0.1178494623655913,0.01937125305173129,0.05369659243014391
ionosphere,0.8450305443810939,0.6879389102766537,0.943439834317274,0.6857514304539338,-0.002187479822719829,0.09840928993618003
kc3,0.8728967886424858,0.3719037809896283,0.955005264000975,0.3773278126784694,0.005424031688841091,0.0821084753584892
letter,0.6213140067232469,0.1005885692960939,0.8228818232183561,0.0890857585890017,-0.011502810707092206,0.20156781649510924
lungcancer_GSE31210,0.7615462029734944,0.2143460701452888,0.885433607721461,0.2227967053812204,0.008450635235931592,0.12388740474796656
lympho,0.7384472555660411,0.1960032744225648,0.8748972954573611,0.1968393707658816,0.0008360963433168,0.13645003989131999
mw1,0.836118864964029,0.3312858760178375,0.9110826276763664,0.3391572457109587,0.007871369693121189,0.0749637627123374
optdigits,0.6131211817246998,0.0866444469570187,0.8207127160415245,0.0951612945361761,0.008516847579157397,0.20759153431682476
pc1,0.9375556619325444,0.2580700786594558,0.9678081276096442,0.2580735607666998,3.482107243990562e-06,0.030252465677099827
pima,0.7788084186703522,0.3101792664828895,0.8987847454036252,0.3279438953734828,0.01776462889059327,0.11997632673327296
satellite,0.8795981722212307,0.5643193969819814,0.9413224583799574,0.570600039195324,0.006280642213342569,0.061724286158726716
satimage-2,0.7883217461527475,0.218382855078363,0.9040149553379024,0.2213429223182713,0.0029600672399082983,0.11569320918515491
thoracic_surgery,0.8059933420753208,0.2897800223534534,0.9155697222090806,0.3135358181830006,0.023755795829547177,0.10957638013375981
thyroid,0.8695988873609617,0.3830519179561543,0.9354567647146202,0.3946416651063408,0.011589747150186513,0.06585787735365856
vertebral,0.8235391762600236,0.0255592582393213,0.8832132075783689,0.0359338254662625,0.010374567226941203,0.059674031318345255
visualizing_livestock,0.5542959600273625,0.2938841312606468,1.0,0.3225806451612903,0.02869651390064354,0.4457040399726375
vowels,0.6467340540983834,0.1678589304531586,0.8285307768738311,0.1759606874360353,0.008101756982876684,0.18179672277544778
wbc,0.8861384835017935,0.5081863857555204,0.9656059794477708,0.5149515345443845,0.006765148788864028,0.07946749594597735
wine,0.6953450331568432,0.2541089148152552,0.8906084734453398,0.2443869463869463,-0.009721968428308914,0.19526344028849663
