Parameter,Friedman,Max_F1,Min_F1_Range,Max_ARI
gamma,0.4563850638247544,scale,0,0
max_iter,0.47016474513825735,50,0,0
tol,0.4552418651298389,1e-05,0,0
shrinking,0.5012258212360251,False,0,0
cache_size,0.5012258212360251,50,0,0
gamma,0.22523764390013334,scale,0,0
tol,0.4752984659631183,1e-05,0,0
max_iter,0.49151827303315676,50,0,0
shrinking,0.5012258212360251,False,0,0
cache_size,0.5012258212360251,50,0,0
gamma,0.22523764390013334,scale,0,0
tol,0.4752984659631183,1e-05,0,0
max_iter,0.49151827303315676,50,0,0
shrinking,0.5012258212360251,False,0,0
cache_size,0.5012258212360251,50,0,0
gamma,0.22523764390013334,scale,0,0
tol,0.4752984659631183,1e-05,0,0
max_iter,0.49151827303315676,50,0,0
shrinking,0.5012258212360251,False,0,0
cache_size,0.5012258212360251,50,0,0
max_iter,0.456184292471389,-1,0,0
gamma,0.4795488474829297,scale,0,0
tol,0.49345355517226236,1e-05,0,0
shrinking,0.5005935604406805,False,0,0
cache_size,0.5012258212360251,50,0,0
