Filename,n_estimators,max_samples,contamination,max_features,bootstrap,n_jobs,warm_start,Parameter_Iteration,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9
glass,2,auto,auto,1.0,False,None,False,0,0.11764705882352941,0.13636363636363638,0.04444444444444444,0.049999999999999996,0.1290322580645161,0.25,0.15384615384615383,0.12765957446808512,0.27118644067796616,0.15625
glass,4,auto,auto,1.0,False,None,False,0,0.1142857142857143,0.08888888888888888,0.20833333333333334,0.06666666666666667,0.1702127659574468,0.05555555555555555,0.10526315789473684,0.1142857142857143,0.06451612903225805,0.05128205128205128
glass,8,auto,auto,1.0,False,None,False,0,0.12765957446808512,0.10256410256410256,0.13953488372093023,0.1935483870967742,0.14634146341463417,0.0625,0.05714285714285715,0.1111111111111111,0.16666666666666666,0.05714285714285715
glass,16,auto,auto,1.0,False,None,False,0,0.07142857142857142,0.13953488372093023,0.1142857142857143,0.0975609756097561,0.125,0.12121212121212122,0.06666666666666667,0.10810810810810811,0.07142857142857142,0.12121212121212122
glass,32,auto,auto,1.0,False,None,False,0,0.0625,0.06896551724137932,0.06896551724137932,0.12121212121212122,0.125,0.06666666666666667,0.13793103448275865,0.11764705882352941,0.06666666666666667,0.06896551724137932
glass,64,auto,auto,1.0,False,None,False,0,0.06666666666666667,0.12121212121212122,0.05714285714285715,0.12121212121212122,0.07142857142857142,0.07692307692307691,0.11764705882352941,0.13793103448275865,0.14814814814814814,0.12121212121212122
glass,100,auto,auto,1.0,False,None,False,0,0.06896551724137932,0.12121212121212122,0.125,0.12121212121212122,0.06666666666666667,0.1290322580645161,0.1290322580645161,0.07142857142857142,0.06896551724137932,0.06666666666666667
glass,128,auto,auto,1.0,False,None,False,0,0.0625,0.1290322580645161,0.12121212121212122,0.0625,0.125,0.125,0.07142857142857142,0.06896551724137932,0.06666666666666667,0.06451612903225805
glass,256,auto,auto,1.0,False,None,False,0,0.13333333333333333,0.125,0.07142857142857142,0.13333333333333333,0.1290322580645161,0.12121212121212122,0.06666666666666667,0.07142857142857142,0.06896551724137932,0.06666666666666667
glass,512,auto,auto,1.0,False,None,False,0,0.06666666666666667,0.06666666666666667,0.1290322580645161,0.125,0.13793103448275865,0.06666666666666667,0.1290322580645161,0.1290322580645161,0.1290322580645161,0.06451612903225805
glass,100,0.1,auto,1.0,False,None,False,0,0.11363636363636365,0.125,0.11235955056179775,0.1388888888888889,0.11235955056179775,0.11363636363636365,0.10810810810810811,0.09195402298850575,0.13333333333333333,0.10309278350515465
glass,100,0.2,auto,1.0,False,None,False,0,0.0967741935483871,0.09523809523809525,0.0967741935483871,0.08823529411764705,0.1176470588235294,0.11267605633802817,0.09090909090909091,0.08,0.09375,0.08333333333333333
glass,100,0.3,auto,1.0,False,None,False,0,0.10714285714285714,0.08695652173913043,0.125,0.0967741935483871,0.11538461538461539,0.1,0.08955223880597016,0.09836065573770493,0.10714285714285714,0.06666666666666667
glass,100,0.4,auto,1.0,False,None,False,0,0.10714285714285714,0.12244897959183673,0.1111111111111111,0.125,0.08333333333333333,0.0784313725490196,0.08,0.11320754716981131,0.11764705882352941,0.13043478260869568
glass,100,0.5,auto,1.0,False,None,False,0,0.09302325581395347,0.15000000000000002,0.1111111111111111,0.16216216216216214,0.09999999999999999,0.10526315789473684,0.05555555555555555,0.10526315789473684,0.14634146341463417,0.05714285714285715
glass,100,0.6,auto,1.0,False,None,False,0,0.10810810810810811,0.10526315789473684,0.15384615384615383,0.0625,0.15384615384615383,0.1142857142857143,0.13953488372093023,0.05714285714285715,0.1111111111111111,0.1142857142857143
glass,100,0.7,auto,1.0,False,None,False,0,0.0625,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.1142857142857143,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.1142857142857143,0.06451612903225805
