Filename,store_precision,assume_centered,support_fraction,contamination,Parameter_Iteration,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9
KnuggetChase3,True,False,None,0.1,0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.32142857142857145,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.32142857142857145
KnuggetChase3,False,False,None,0.1,0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857
KnuggetChase3,True,True,None,0.1,0,0.2857142857142857,0.25,0.25,0.25,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.32142857142857145,0.2857142857142857,0.32142857142857145
KnuggetChase3,True,False,0.1,0.1,0,0.25,0.35714285714285715,0.25,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.2857142857142857,0.32142857142857145,0.32142857142857145,0.2857142857142857
KnuggetChase3,True,False,0.2,0.1,0,0.35714285714285715,0.32142857142857145,0.32142857142857145,0.32142857142857145,0.2857142857142857,0.21428571428571427,0.2857142857142857,0.2857142857142857,0.25,0.2857142857142857
KnuggetChase3,True,False,0.3,0.1,0,0.32142857142857145,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.25,0.25,0.2857142857142857,0.25,0.32142857142857145,0.32142857142857145
KnuggetChase3,True,False,0.4,0.1,0,0.32142857142857145,0.32142857142857145,0.25,0.2857142857142857,0.25,0.32142857142857145,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857
KnuggetChase3,True,False,0.5,0.1,0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.32142857142857145,0.2857142857142857,0.32142857142857145,0.25,0.2857142857142857,0.32142857142857145,0.2857142857142857
KnuggetChase3,True,False,0.6,0.1,0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.25,0.2857142857142857,0.32142857142857145,0.2857142857142857,0.2857142857142857,0.2857142857142857
KnuggetChase3,True,False,0.7,0.1,0,0.2857142857142857,0.2857142857142857,0.32142857142857145,0.2857142857142857,0.32142857142857145,0.32142857142857145,0.2857142857142857,0.32142857142857145,0.2857142857142857,0.25
KnuggetChase3,True,False,0.8,0.1,0,0.2857142857142857,0.32142857142857145,0.32142857142857145,0.32142857142857145,0.32142857142857145,0.2857142857142857,0.32142857142857145,0.32142857142857145,0.2857142857142857,0.2857142857142857
KnuggetChase3,True,False,0.9,0.1,0,0.32142857142857145,0.32142857142857145,0.32142857142857145,0.2857142857142857,0.32142857142857145,0.32142857142857145,0.32142857142857145,0.32142857142857145,0.32142857142857145,0.2857142857142857
KnuggetChase3,True,False,None,0.2,0,0.3466666666666667,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3733333333333333,0.4
KnuggetChase3,True,False,None,0.3,0,0.40425531914893614,0.40425531914893614,0.40425531914893614,0.3829787234042554,0.40425531914893614,0.3829787234042554,0.40425531914893614,0.36170212765957444,0.3829787234042554,0.40425531914893614
KnuggetChase3,True,False,None,0.4,0,0.3333333333333333,0.3684210526315789,0.3684210526315789,0.3508771929824561,0.38596491228070173,0.3508771929824561,0.4035087719298245,0.38596491228070173,0.38596491228070173,0.3684210526315789
KnuggetChase3,True,False,None,0.5,0,0.37593984962406013,0.3609022556390977,0.37593984962406013,0.3609022556390977,0.37593984962406013,0.3609022556390977,0.3609022556390977,0.3609022556390977,0.3609022556390977,0.3609022556390977
KnuggetChase3,True,False,None,LOF,0,0.25,0.2857142857142857,0.2857142857142857,0.32142857142857145,0.25,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.25
