,Filename,ContaminationFraction,KernelScale,Lambda,NumExpansionDimensions,StandardizeData,BetaTolerance,GradientTolerance,IterationLimit,Parameter_Iteration,F1_Median,F1_Range,ARI_Median
50,CostaMadre1,0,5,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
51,CostaMadre1,0,1,0.01,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
52,CostaMadre1,0,1,0.05,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
53,CostaMadre1,0,1,0.1,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
54,CostaMadre1,0,1,0.2,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
55,CostaMadre1,0,1,0.5,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
56,CostaMadre1,0,1,1,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
57,CostaMadre1,0,1,2,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
58,CostaMadre1,0,1,5,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
59,CostaMadre1,0,1,auto,auto,1,0.0001,0.0001,1000,8,0.0,0.0,1.0
60,CostaMadre1,0,1,auto,auto,0,0.01,0.0001,1000,8,0.0,0.0,1.0
61,CostaMadre1,0,1,auto,auto,0,0.001,0.0001,1000,8,0.0,0.0,1.0
62,CostaMadre1,0,1,auto,auto,0,1e-05,0.0001,1000,8,0.0,0.0,1.0
63,CostaMadre1,0,1,auto,auto,0,0.0001,0.001,1000,8,0.0,0.0,1.0
64,CostaMadre1,0,1,auto,auto,0,0.0001,1e-05,1000,8,0.0,0.0,1.0
65,CostaMadre1,0,1,auto,auto,0,0.0001,1e-06,1000,8,0.0,0.0,1.0
66,CostaMadre1,0,1,auto,auto,0,0.0001,0.0001,100,8,0.0,0.0,1.0
67,CostaMadre1,0,1,auto,auto,0,0.0001,0.0001,200,8,0.0,0.0,1.0
68,CostaMadre1,0,1,auto,auto,0,0.0001,0.0001,500,8,0.0,0.0,1.0
69,CostaMadre1,0,1,auto,auto,0,0.0001,0.0001,2000,8,0.0,0.0,1.0
70,KnuggetChase3,0,1,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
71,KnuggetChase3,0.05,1,auto,auto,0,0.0001,0.0001,1000,8,0.09565217391304345,0.41176470588235287,0.010205639533569292
72,KnuggetChase3,0.1,1,auto,auto,0,0.0001,0.0001,1000,8,0.12363636363636361,0.1428571428571426,0.0024250059634233208
73,KnuggetChase3,0.15,1,auto,auto,0,0.0001,0.0001,1000,8,0.15999999999999995,0.14893617021276595,0.005870258865626842
74,KnuggetChase3,0.2,1,auto,auto,0,0.0001,0.0001,1000,8,0.17599999999999996,0.2727272727272728,0.006321172253643038
75,KnuggetChase3,0.25,1,auto,auto,0,0.0001,0.0001,1000,8,0.21428571428571427,0.11111111111111109,-0.0018627684885115753
76,KnuggetChase3,LOF,1,auto,auto,0,0.0001,0.0001,1000,8,0.13928571428571423,0.48387096774193544,0.000862942541807834
77,KnuggetChase3,IF,1,auto,auto,0,0.0001,0.0001,1000,8,0.14915254237288128,0.277777777777778,-0.01188014684916847
78,KnuggetChase3,0,auto,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
79,KnuggetChase3,0,0.01,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
80,KnuggetChase3,0,0.05,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
81,KnuggetChase3,0,0.1,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
82,KnuggetChase3,0,0.2,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
83,KnuggetChase3,0,0.5,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
84,KnuggetChase3,0,2,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
85,KnuggetChase3,0,5,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
86,KnuggetChase3,0,1,0.01,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
87,KnuggetChase3,0,1,0.05,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
88,KnuggetChase3,0,1,0.1,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
89,KnuggetChase3,0,1,0.2,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
90,KnuggetChase3,0,1,0.5,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
91,KnuggetChase3,0,1,1,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
92,KnuggetChase3,0,1,2,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
93,KnuggetChase3,0,1,5,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
94,KnuggetChase3,0,1,auto,auto,1,0.0001,0.0001,1000,8,0.0,0.0,1.0
95,KnuggetChase3,0,1,auto,auto,0,0.01,0.0001,1000,8,0.0,0.0,1.0
96,KnuggetChase3,0,1,auto,auto,0,0.001,0.0001,1000,8,0.0,0.0,1.0
97,KnuggetChase3,0,1,auto,auto,0,1e-05,0.0001,1000,8,0.0,0.0,1.0
98,KnuggetChase3,0,1,auto,auto,0,0.0001,0.001,1000,8,0.0,0.0,1.0
99,KnuggetChase3,0,1,auto,auto,0,0.0001,1e-05,1000,8,0.0,0.0,1.0
100,KnuggetChase3,0,1,auto,auto,0,0.0001,1e-06,1000,8,0.0,0.0,1.0
101,KnuggetChase3,0,1,auto,auto,0,0.0001,0.0001,100,8,0.0,0.0,1.0
102,KnuggetChase3,0,1,auto,auto,0,0.0001,0.0001,200,8,0.0,0.0,1.0
103,KnuggetChase3,0,1,auto,auto,0,0.0001,0.0001,500,8,0.0,0.0,1.0
104,KnuggetChase3,0,1,auto,auto,0,0.0001,0.0001,2000,8,0.0,0.0,1.0
105,KungChi3,0,1,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,1.0
106,KungChi3,0.05,1,auto,auto,0,0.0001,0.0001,1000,8,0.09999999999999999,0.2727272727272727,0.00654312749102737
107,KungChi3,0.1,1,auto,auto,0,0.0001,0.0001,1000,8,0.11428571428571424,0.3333333333333333,-0.022192935116286283
