,Filename,Configuration,Mean ARI,Min ARI
0,CastMetal1,Default,0.0,0.0
1,CostaMadre1,Default,0.0,0.0
2,KnuggetChase3,Default,0.0,0.0
3,KungChi3,Default,1.0,1.0
4,MeanWhile1,Default,0.0,0.0
5,MegaWatt1,Default,0.0,0.0
6,PieChart1,Default,0.0,0.0
7,PieChart2,Default,0.0,0.0
8,PieChart3,Default,1.0,1.0
9,PizzaCutter1,Default,0.0,0.0
10,PizzaCutter3,Default,1.0,1.0
11,analcatdata_apnea1,Default,0.0,0.0
12,analcatdata_apnea2,Default,0.0,0.0
13,analcatdata_apnea3,Default,0.0,0.0
14,analcatdata_challenger,Default,0.0,0.0
15,analcatdata_chlamydia,Default,0.0,0.0
16,analcatdata_lawsuit,Default,0.0,0.0
17,analcatdata_neavote,Default,0.0,0.0
18,annthyroid,Default,0.0,0.0
19,appendicitis,Default,0.0,0.0
20,ar1,Default,0.0,0.0
21,ar3,Default,0.0,0.0
22,ar4,Default,0.0,0.0
23,ar6,Default,0.0,0.0
24,arsenic-female-bladder,Default,1.0,1.0
25,arsenic-female-lung,Default,1.0,1.0
26,arsenic-male-bladder,Default,1.0,1.0
27,arsenic-male-lung,Default,1.0,1.0
28,backache,Default,0.0,0.0
29,bank-marketing,Default,0.0,0.0
30,breastw,Default,0.0,0.0
31,cardio,Default,0.0,0.0
32,churn,Default,0.0,0.0
33,climate-model-simulation-crashes,Default,0.0,0.0
34,datatrieve,Default,0.0,0.0
35,fertility,Default,0.0,0.0
36,flare,Default,0.0,0.0
37,glass,Default,0.0,0.0
38,ionosphere,Default,0.0,0.0
39,kc3,Default,0.0,0.0
40,letter,Default,0.0,0.0
41,lungcancer_GSE31210,Default,0.0,0.0
42,lympho,Default,0.0,0.0
43,mw1,Default,0.0,0.0
44,optdigits,Default,0.0,0.0
45,pc1,Default,1.0,1.0
46,pima,Default,0.0,0.0
47,satellite,Default,0.0,0.0
48,satimage-2,Default,0.0,0.0
49,thoracic_surgery,Default,0.0,0.0
50,thyroid,Default,0.0,0.0
51,vertebral,Default,0.0,0.0
52,visualizing_livestock,Default,0.0,0.0
53,vowels,Default,0.0,0.0
54,wbc,Default,0.0,0.0
55,wine,Default,0.0,0.0
56,CastMetal1,Configure 1,0.004572334749898666,-0.01672863345192584
57,CostaMadre1,Configure 1,0.0009604775326830836,-0.059563562164223455
58,KnuggetChase3,Configure 1,0.000606138125344101,-0.013425912977420178
59,KungChi3,Configure 1,-0.02281171098094064,-0.07430117373086331
60,MeanWhile1,Configure 1,-0.007935725963050887,-0.03077184623023268
61,MegaWatt1,Configure 1,-0.002565811583015487,-0.03077184623023268
62,PieChart1,Configure 1,-0.0020896117656930657,-0.006274950239654791
63,PieChart2,Configure 1,-0.005805072147452561,-0.01350863786822186
64,PieChart3,Configure 1,0.0,0.0
65,PizzaCutter1,Configure 1,0.008304372622666317,-0.020199174393963522
66,PizzaCutter3,Configure 1,0.0,0.0
67,analcatdata_apnea1,Configure 1,0.060906342519531,-0.0965805433464192
68,analcatdata_apnea2,Configure 1,0.06200263456497072,-0.10556519244062447
69,analcatdata_apnea3,Configure 1,0.01456267961951022,-0.08628739121635297
70,analcatdata_challenger,Configure 1,0.047679499649192644,-0.10621165430502694
71,analcatdata_chlamydia,Configure 1,0.128821752265861,-0.10392749244712991
72,analcatdata_lawsuit,Configure 1,0.020953527604119865,-0.043711187258643945
