,store_precision,assume_centered,support_fraction,contamination,F1_Median,F1_Range,ARI_Median
0,False,False,0.6,0.1,0.2511438557969752,0.07258454778832726,0.8630030273774126
1,False,False,None,0.1,0.2510275983158194,0.045452094050569616,0.8755995873847062
2,False,True,0.6,0.1,0.2455544997581671,0.03921878805959365,0.8507306240949155
3,True,False,0.1,0.1,0.23428529417212063,0.07014275869471998,0.7478074714112242
4,True,False,0.2,0.1,0.23724420191792156,0.11514003608970362,0.7836102522489226
5,True,False,0.3,0.1,0.2419986350697688,0.0692933794843288,0.8193632553807445
6,True,False,0.4,0.1,0.24283245720929814,0.06955931219068506,0.84560003765978
7,True,False,0.5,0.1,0.24728890570139483,0.046934238746842966,0.8706427110628161
8,True,False,0.6,0.1,0.2536736915988087,0.06297914407709009,0.8660419937942644
9,True,False,0.6,0.2,0.28278277165667565,0.05092865051971223,0.8595032820867913
10,True,False,0.6,0.3,0.27920958642977844,0.040794658826068586,0.8533459846855999
11,True,False,0.6,0.4,0.2728727413837066,0.017327009319626954,0.8471485759748818
12,True,False,0.6,0.5,0.259216150838916,0.010688546261352587,0.8678586845952132
13,True,False,0.6,IF,0.2747361609042437,0.043900555667999414,0.8727279106355218
14,True,False,0.6,LOF,0.21521880121156473,0.05365649995302516,0.8526179332322431
15,True,False,0.7,0.1,0.2589077292664334,0.04247140031356164,0.8932604520342403
16,True,False,0.8,0.1,0.25058699403998747,0.050843168518490856,0.9165429533284658
17,True,False,0.9,0.1,0.24484160485853806,0.033499481328983366,0.9389887387979395
18,True,False,None,0.1,0.25179025439889063,0.04644718306861924,0.8740372880049386
19,True,False,None,0.2,0.2797749488143028,0.03722856080511922,0.8681165051566411
20,True,False,None,0.3,0.2784896671673362,0.026125736224619705,0.858775927383953
21,True,False,None,0.4,0.27377790614512276,0.01591343154691644,0.8557072285992342
22,True,False,None,0.5,0.259883329000541,0.012990842357963606,0.8784882102945887
23,True,False,None,IF,0.26753244897968825,0.028821919398568444,0.8877153600312796
24,True,False,None,LOF,0.2174800323640266,0.04714992424614904,0.8461537019220494
25,True,True,0.6,0.1,0.24791684876454934,0.03781263157534534,0.8520508062544168
26,True,True,None,0.1,0.24475101734778265,0.03937649767411262,0.8458461785998591
