Filename,Actual,IF,LOF
CastMetal1,0.12844036697247707,0.1018348623853211,0.04281345565749235
CostaMadre1,0.12837837837837837,0.10472972972972973,0.04391891891891892
KnuggetChase3,0.18556701030927836,0.1190721649484536,0.10309278350515463
KungChi3,0.13008130081300814,0.12764227642276424,0.08130081300813008
MeanWhile1,0.1067193675889328,0.09960474308300395,0.039525691699604744
MegaWatt1,0.1067193675889328,0.10474308300395258,0.039525691699604744
PieChart1,0.08652482269503546,0.09262411347517731,0.029787234042553193
PieChart2,0.021476510067114093,0.0774496644295302,0.04563758389261745
PieChart3,0.1244196843082637,0.0862581244196843,0.016713091922005572
PizzaCutter1,0.07866868381240545,0.0951588502269289,0.018154311649016642
PizzaCutter3,0.12176414189837009,0.08350910834132311,0.013422818791946308
analcatdata_apnea1,0.12842105263157894,0.03810526315789474,0
analcatdata_apnea2,0.13473684210526315,0.03747368421052632,0
analcatdata_apnea3,0.12222222222222222,0.028444444444444446,0
analcatdata_challenger,0.06521739130434782,0.34782608695652173,0.13043478260869565
analcatdata_chlamydia,0.19,0.01,0
analcatdata_lawsuit,0.07196969696969698,0.3178030303030303,0.045454545454545456
analcatdata_neavote,0.07,0.402,0
annthyroid,0.07416666666666667,0.09440277777777778,0.03958333333333333
appendicitis,0.19811320754716982,0.22075471698113208,0.10377358490566038
ar1,0.0743801652892562,0.15206611570247933,0.2231404958677686
ar3,0.12698412698412698,0.15396825396825398,0.38095238095238093
ar4,0.18691588785046728,0.10186915887850467,0.16822429906542055
ar6,0.1485148514851485,0.14257425742574256,0.37623762376237624
arsenic-female-bladder,0.14311270125223613,0.2558139534883721,0.06440071556350627
arsenic-female-lung,0.03398926654740608,0.25205724508050087,0.06440071556350627
arsenic-male-bladder,0.04293381037567084,0.25205724508050087,0.05366726296958855
arsenic-male-lung,0.023255813953488372,0.26457960644007156,0.05366726296958855
backache,0.1388888888888889,0.18722222222222223,0.022222222222222223
bank-marketing,0.11523999115239991,0.18759124087591242,0.034948020349480205
breastw,0.34992679355783307,0.377891654465593,0.24743777452415813
cardio,0.0961223375204806,0.09049699617695249,0.0212998361551065
churn,0.1414,0.13816,0.0028
climate-model-simulation-crashes,0.08518518518518518,0.2935185185185185,0
datatrieve,0.08461538461538462,0.22230769230769232,0.05384615384615385
dis,0.015376458112407211,0.10848356309650053,0.003181336161187699
fertility,0.12,0.461,0
flare,0.17073170731707318,0.3928705440900563,0.21482176360225141
glass,0.04205607476635514,0.10046728971962617,0.17289719626168223
ionosphere,0.358974358974359,0.2641025641025641,0.3475783475783476
kc1,0.15457562825983878,0.12048364153627311,0.08819345661450925
kc3,0.09388646288209607,0.1314410480349345,0.1331877729257642
letter,0.0625,0.0789375,0.005625
lungcancer_GSE31210,0.15486725663716813,0.10088495575221239,0.03982300884955752
lympho,0.04054054054054054,0.3655405405405405,0
mammography,0.023249575248144506,0.1385227577573102,0.016900652776535813
mnist,0.09206892016309351,0.23206628962251744,0.0009206892016309352
musk,0.03167864141084259,0.12224036577400392,0
mw1,0.07692307692307693,0.11364764267990074,0.02977667493796526
oil_spill,0.04375667022411953,0.1255069370330843,0.06510138740661686
optdigits,0.028757668711656442,0.22018788343558282,0.0017254601226993865
ozone-level-8hr,0.06314127861089187,0.11929755327545383,0.022099447513812154
pc1,0.06943192064923355,0.09837691614066726,0.04959422903516682
pc2,0.00411522633744856,0.10699588477366255,0.15065306852746466
pc3,0.10236724248240563,0.08688419705694178,0.05054382597568778
pc4,0.12208504801097393,0.09602194787379972,0.062414266117969824
pendigits,0.022707423580786028,0.4022561863173217,0.013973799126637555
pima,0.3489583333333333,0.134765625,0.02734375
satellite,0.3163947163947164,0.16801864801864802,0.02035742035742036
satimage-2,0.0122350508357746,0.09913837670170601,0.02378080303291401
shuttle,0.0715114976475141,0.11615373648084404,0.025215389942359005
smtp,0.0003152717642607928,0.14819769641430913,0.02564210349321115
synthetic_control,0.16666666666666666,0.17066666666666666,0
thoracic_surgery,0.14893617021276595,0.16361702127659575,0.03404255319148936
thyroid,0.024655355249204668,0.09620890774125132,0.039766702014846236
vertebral,0.125,0.10125,0.04583333333333333
visualizing_livestock,0.19230769230769232,0.22153846153846155,0
vowels,0.034340659340659344,0.09677197802197803,0.01098901098901099
wbc,0.05555555555555555,0.08756613756613757,0.07407407407407407
wilt,0.05393676379417235,0.08834469931804091,0.02149204381070469
wine,0.07751937984496124,0.12325581395348838,0.16279069767441862
