Filename,n_estimators,max_samples,contamination,max_features,bootstrap,n_jobs,warm_start,Parameter_Iteration,F1_Median,F1_Range,ARI_Median
CastMetal1,2,auto,auto,1.0,False,None,False,0,0.23281851461190853,0.06452031067706422,0.26807199830577727
CastMetal1,4,auto,auto,1.0,False,None,False,0,0.21568222568408163,0.1262573227439807,0.44678262249169826
CastMetal1,8,auto,auto,1.0,False,None,False,0,0.21826426543987593,0.1155315134594627,0.6186088995720581
CastMetal1,16,auto,auto,1.0,False,None,False,0,0.2413441662788139,0.1265698028731837,0.7445970284131421
CastMetal1,32,auto,auto,1.0,False,None,False,0,0.26619080596956024,0.07766813042915048,0.8173169449517521
CastMetal1,64,auto,auto,1.0,False,None,False,0,0.26430291524908534,0.07015629983898385,0.8602838027958666
CastMetal1,100,auto,auto,1.0,False,None,False,0,0.2696573943351863,0.04441041347626348,0.9264070691898293
CastMetal1,128,auto,auto,1.0,False,None,False,0,0.2623170190079921,0.062155184250628506,0.9092897171375571
CastMetal1,256,auto,auto,1.0,False,None,False,0,0.2686768513286176,0.006711409395973087,0.9667890585593979
CastMetal1,512,auto,auto,1.0,False,None,False,0,0.267153893619647,0.006711409395973087,0.9744502781177755
CastMetal1,100,0.1,auto,1.0,False,None,False,0,0.2933418491045345,0.01791180304339548,0.8673171511218014
CastMetal1,100,0.2,auto,1.0,False,None,False,0,0.2894407285446356,0.018037080966684126,0.8206987560819016
CastMetal1,100,0.3,auto,1.0,False,None,False,0,0.2836378472311958,0.0096136404861238,0.8516441963816896
CastMetal1,100,0.4,auto,1.0,False,None,False,0,0.28772318807427943,0.03834017525180353,0.874538267335111
CastMetal1,100,0.5,auto,1.0,False,None,False,0,0.2860797363768644,0.0193359496561068,0.8740464539975561
CastMetal1,100,0.6,auto,1.0,False,None,False,0,0.28689424247628414,0.02380501714349212,0.8924947454929409
CastMetal1,100,0.7,auto,1.0,False,None,False,0,0.2733935311730998,0.023691447107914026,0.9023381472799369
CastMetal1,100,0.8,auto,1.0,False,None,False,0,0.2484279535858483,0.04440241131084423,0.8934185722474149
CastMetal1,100,0.9,auto,1.0,False,None,False,0,0.2538865626189569,0.03225806451612892,0.9405648082343256
CastMetal1,100,1.0,auto,1.0,False,None,False,0,0.23660692113139845,0.04497138184791505,0.9125065506120232
CastMetal1,100,auto,auto,0.1,False,None,False,0,0.29609061588008956,0.03703703703703691,0.8894570971546298
CastMetal1,100,auto,auto,0.2,False,None,False,0,0.27861411448193596,0.044151833868523005,0.9114875175286394
CastMetal1,100,auto,auto,0.3,False,None,False,0,0.2619014919738439,0.0509031198686371,0.9009890407537842
CastMetal1,100,auto,auto,0.4,False,None,False,0,0.26955941376352155,0.08745723276283424,0.890723171608391
CastMetal1,100,auto,auto,0.5,False,None,False,0,0.26801377296929557,0.01986754966887404,0.9242757297055895
CastMetal1,100,auto,auto,0.6,False,None,False,0,0.2646466901549814,0.016779430518862833,0.9275059703841334
CastMetal1,100,auto,auto,0.7,False,None,False,0,0.2670259767097066,0.06646474844354704,0.9081492726453874
CastMetal1,100,auto,auto,0.8,False,None,False,0,0.27223773853217226,0.04111460183035108,0.9176127021236785
CastMetal1,100,auto,auto,0.9,False,None,False,0,0.26615902304931216,0.02197633317965273,0.9233710883765539
CastMetal1,100,auto,auto,1.0,True,None,False,0,0.28192134019535425,0.01986492395277688,0.8561686049139487
CastMetal1,100,auto,auto,1.0,False,1,False,0,0.2561053927018822,0.05913100294021574,0.9135393338698274
CastMetal1,100,auto,auto,1.0,False,None,True,0,0.26173022337405893,0.044179204439447804,0.9405153328559098
CostaMadre1,2,auto,auto,1.0,False,None,False,0,0.24489121944241962,0.15672260181053554,0.3171929216156866
CostaMadre1,4,auto,auto,1.0,False,None,False,0,0.23411731090017174,0.14310407315509238,0.4759347414457333
CostaMadre1,8,auto,auto,1.0,False,None,False,0,0.26548302957389025,0.09265484364263651,0.58491215825206
CostaMadre1,16,auto,auto,1.0,False,None,False,0,0.2651914658717537,0.046678217693759946,0.7141414806884916
CostaMadre1,32,auto,auto,1.0,False,None,False,0,0.28083644909731864,0.0399699168011533,0.8092650103996727
CostaMadre1,64,auto,auto,1.0,False,None,False,0,0.28077782742894686,0.02468788412837124,0.8599399651850833
CostaMadre1,100,auto,auto,1.0,False,None,False,0,0.28223920504429717,0.05079488173710751,0.8894684998198366
CostaMadre1,128,auto,auto,1.0,False,None,False,0,0.28619866451509796,0.03257353554035885,0.8870307059322483
CostaMadre1,256,auto,auto,1.0,False,None,False,0,0.28601458019244574,0.028163270350094485,0.9171707576419931
CostaMadre1,512,auto,auto,1.0,False,None,False,0,0.2869481674310471,0.04137667131375829,0.949144031273118
CostaMadre1,100,0.1,auto,1.0,False,None,False,0,0.2871163783156659,0.03826143008425801,0.8693972876578396
CostaMadre1,100,0.2,auto,1.0,False,None,False,0,0.279249401215497,0.025374956159658926,0.842526522376883
CostaMadre1,100,0.3,auto,1.0,False,None,False,0,0.28864507917140353,0.028931133293813676,0.8492947973128807
CostaMadre1,100,0.4,auto,1.0,False,None,False,0,0.2976515232512737,0.014767405814237387,0.8843326316669575
CostaMadre1,100,0.5,auto,1.0,False,None,False,0,0.2871394952629772,0.04198127841888759,0.8815161881930053
CostaMadre1,100,0.6,auto,1.0,False,None,False,0,0.28873167841361014,0.03028146497602636,0.87153339439154
CostaMadre1,100,0.7,auto,1.0,False,None,False,0,0.2806101311124699,0.04577345025558828,0.8633411833060752
CostaMadre1,100,0.8,auto,1.0,False,None,False,0,0.28311847588820355,0.03191703541244558,0.8702411430842883
CostaMadre1,100,0.9,auto,1.0,False,None,False,0,0.28205789153990807,0.041543545179376265,0.8788584395217065
CostaMadre1,100,1.0,auto,1.0,False,None,False,0,0.26689199767851424,0.0549291879330347,0.9172142821593381
CostaMadre1,100,auto,auto,0.1,False,None,False,0,0.2865831686418502,0.03389253174605283,0.8309322411765032
CostaMadre1,100,auto,auto,0.2,False,None,False,0,0.28410015677024636,0.0211121688973514,0.8554383715780961
CostaMadre1,100,auto,auto,0.3,False,None,False,0,0.2849727401870777,0.0520640124228961,0.8665087295828797
CostaMadre1,100,auto,auto,0.4,False,None,False,0,0.29021323118357123,0.06766072471627392,0.8705474056618971
CostaMadre1,100,auto,auto,0.5,False,None,False,0,0.2868505247056672,0.032046926486663505,0.8627621333582802
CostaMadre1,100,auto,auto,0.6,False,None,False,0,0.29308006319486685,0.018249342069949447,0.8995368354674338
CostaMadre1,100,auto,auto,0.7,False,None,False,0,0.2825907996790263,0.04138111899533258,0.8887680233392233
CostaMadre1,100,auto,auto,0.8,False,None,False,0,0.2788680052614155,0.041543545179376265,0.8859096743483652
CostaMadre1,100,auto,auto,0.9,False,None,False,0,0.29020930724102845,0.01852935439828365,0.8940237365790311
CostaMadre1,100,auto,auto,1.0,True,None,False,0,0.2707653215476905,0.02019298784149911,0.8545838361656644
CostaMadre1,100,auto,auto,1.0,False,1,False,0,0.2811137960490312,0.03581905762196226,0.8804314268274577
CostaMadre1,100,auto,auto,1.0,False,None,True,0,0.27626878516851533,0.050702121302659074,0.8936894517053465
KnuggetChase3,2,auto,auto,1.0,False,None,False,0,0.3009866628695505,0.12892028067189196,0.2456591802658452
KnuggetChase3,4,auto,auto,1.0,False,None,False,0,0.30884460628991395,0.10406906116395272,0.39331993713084384
KnuggetChase3,8,auto,auto,1.0,False,None,False,0,0.33676251732734047,0.08947687335891749,0.5863945117858564
KnuggetChase3,16,auto,auto,1.0,False,None,False,0,0.34549485416751413,0.031627793381365274,0.7479288709076162
KnuggetChase3,32,auto,auto,1.0,False,None,False,0,0.3581006524449878,0.09952739664462648,0.7422549653495035
KnuggetChase3,64,auto,auto,1.0,False,None,False,0,0.3272325248073502,0.04977375565610874,0.8099285811776405
KnuggetChase3,100,auto,auto,1.0,False,None,False,0,0.3460875954304316,0.08502241286094672,0.8729405221943091
KnuggetChase3,128,auto,auto,1.0,False,None,False,0,0.34928074996406233,0.057263812228712296,0.8822931386155917
KnuggetChase3,256,auto,auto,1.0,False,None,False,0,0.35889512731825246,0.03762103335716536,0.9207012315627172
KnuggetChase3,512,auto,auto,1.0,False,None,False,0,0.364087129010314,0.014579491283621673,0.9508305861270405
KnuggetChase3,100,0.1,auto,1.0,False,None,False,0,0.389763120271738,0.023058553748453153,0.7968213401369493
KnuggetChase3,100,0.2,auto,1.0,False,None,False,0,0.4168397987250795,0.027315818141782612,0.7637766801003618
KnuggetChase3,100,0.3,auto,1.0,False,None,False,0,0.41598072782151735,0.021655828759245883,0.7644344561434298
KnuggetChase3,100,0.4,auto,1.0,False,None,False,0,0.395369360977341,0.0389146153221222,0.8334861429312624
KnuggetChase3,100,0.5,auto,1.0,False,None,False,0,0.3984399588388728,0.028948366552623343,0.8217705036388115
KnuggetChase3,100,0.6,auto,1.0,False,None,False,0,0.38848239597794315,0.029815428300993745,0.8621561746105036
KnuggetChase3,100,0.7,auto,1.0,False,None,False,0,0.38389461924525575,0.02078316970252354,0.8634370143222229
KnuggetChase3,100,0.8,auto,1.0,False,None,False,0,0.383089523577252,0.04678911382222811,0.8542599197496418
KnuggetChase3,100,0.9,auto,1.0,False,None,False,0,0.361442604094704,0.064761619876301,0.86304800243274
KnuggetChase3,100,1.0,auto,1.0,False,None,False,0,0.361912072271352,0.029111298870881083,0.8877370845070631
KnuggetChase3,100,auto,auto,0.1,False,None,False,0,0.36967016890625004,0.05084851873560327,0.8463495153355953
KnuggetChase3,100,auto,auto,0.2,False,None,False,0,0.35627102631238927,0.04547316673494471,0.8983043967250048
KnuggetChase3,100,auto,auto,0.3,False,None,False,0,0.3609124075896931,0.051881993896236,0.8648717479270046
KnuggetChase3,100,auto,auto,0.4,False,None,False,0,0.3572907320361362,0.05849452758543667,0.8840827404367603
KnuggetChase3,100,auto,auto,0.5,False,None,False,0,0.36194667205019543,0.047470005216484125,0.8749403750691879
KnuggetChase3,100,auto,auto,0.6,False,None,False,0,0.3444290399951455,0.01482654383186992,0.8805807581666559
KnuggetChase3,100,auto,auto,0.7,False,None,False,0,0.354460856027325,0.031121597982181295,0.8731051546665911
KnuggetChase3,100,auto,auto,0.8,False,None,False,0,0.3448838951197541,0.03937007874015745,0.8674843838078566
KnuggetChase3,100,auto,auto,0.9,False,None,False,0,0.365040986240296,0.008264462809917456,0.8674270557019166
KnuggetChase3,100,auto,auto,1.0,True,None,False,0,0.3972560923584008,0.02337559429477019,0.8152114745110284
KnuggetChase3,100,auto,auto,1.0,False,1,False,0,0.3578556348908968,0.06813599580191677,0.850326995762936
KnuggetChase3,100,auto,auto,1.0,False,None,True,0,0.34187593128096866,0.05945717604815709,0.8581439563432858
KungChi3,2,auto,auto,1.0,False,None,False,0,0.3396240829225112,0.10806229858802475,0.24288921396225835
KungChi3,4,auto,auto,1.0,False,None,False,0,0.35113211945561285,0.12776115602520852,0.416020660120676
KungChi3,8,auto,auto,1.0,False,None,False,0,0.36153424644063037,0.06928245095404446,0.4715560342045873
KungChi3,16,auto,auto,1.0,False,None,False,0,0.3634836546780372,0.07692307692307698,0.6191967099815129
KungChi3,32,auto,auto,1.0,False,None,False,0,0.39635652403678967,0.06589427950760318,0.7151899686178658
KungChi3,64,auto,auto,1.0,False,None,False,0,0.3965944070687904,0.07325383304940376,0.8042913945739638
KungChi3,100,auto,auto,1.0,False,None,False,0,0.4327846597229244,0.049057487413651804,0.8610123287645249
KungChi3,128,auto,auto,1.0,False,None,False,0,0.43926197458455524,0.031249999999999976,0.9016707365813502
KungChi3,256,auto,auto,1.0,False,None,False,0,0.4331048387096773,0.06060606060606064,0.9459142558333652
KungChi3,512,auto,auto,1.0,False,None,False,0,0.4423387096774193,0.011857707509881335,0.9684512586241448
KungChi3,100,0.1,auto,1.0,False,None,False,0,0.33718399826735307,0.03190531829845757,0.6637546911006539
KungChi3,100,0.2,auto,1.0,False,None,False,0,0.3574293894626065,0.017494611258709675,0.8879313347659304
KungChi3,100,0.3,auto,1.0,False,None,False,0,0.37620747552798484,0.03382982350258225,0.8006088401562252
KungChi3,100,0.4,auto,1.0,False,None,False,0,0.40684948880396865,0.02214852540566149,0.8193306807626171
KungChi3,100,0.5,auto,1.0,False,None,False,0,0.4102879255050616,0.048478237369419246,0.817801135066686
KungChi3,100,0.6,auto,1.0,False,None,False,0,0.43539407133096314,0.04109589041095879,0.8060613420369944
KungChi3,100,0.7,auto,1.0,False,None,False,0,0.4356631994364192,0.023662176920276713,0.8246817017989039
KungChi3,100,0.8,auto,1.0,False,None,False,0,0.40765333436773066,0.02847181871005239,0.7959775340478139
KungChi3,100,0.9,auto,1.0,False,None,False,0,0.4168540522016606,0.05914231856738933,0.8169758074211383
KungChi3,100,1.0,auto,1.0,False,None,False,0,0.3987735555846365,0.04272092499436896,0.8193147283895567
KungChi3,100,auto,auto,0.1,False,None,False,0,0.42346968148438735,0.1016476548827572,0.8399135061219378
KungChi3,100,auto,auto,0.2,False,None,False,0,0.4218051277206875,0.07165038154641387,0.828572057672533
KungChi3,100,auto,auto,0.3,False,None,False,0,0.40285195065318397,0.0691464354890272,0.8127897081607709
KungChi3,100,auto,auto,0.4,False,None,False,0,0.4170513533555802,0.05260516852053197,0.8550676585527779
KungChi3,100,auto,auto,0.5,False,None,False,0,0.4097368610200679,0.05319901745390156,0.8492347246674755
KungChi3,100,auto,auto,0.6,False,None,False,0,0.41777694264411525,0.09264580080634943,0.8248650436388819
KungChi3,100,auto,auto,0.7,False,None,False,0,0.42850662699097225,0.06856686868953325,0.8765608725248477
KungChi3,100,auto,auto,0.8,False,None,False,0,0.4028538468173193,0.045783132530120445,0.8449384708639144
KungChi3,100,auto,auto,0.9,False,None,False,0,0.42371741951912734,0.04111986001749787,0.8655552259214747
KungChi3,100,auto,auto,1.0,True,None,False,0,0.35650030449060194,0.015630593007994287,0.8220138706510413
KungChi3,100,auto,auto,1.0,False,1,False,0,0.42174434436531205,0.05669796743135626,0.8316651921610991
KungChi3,100,auto,auto,1.0,False,None,True,0,0.4303186274509804,0.02653247941445559,0.8314627029040477
MeanWhile1,2,auto,auto,1.0,False,None,False,0,0.21155740217956712,0.1602355844204951,0.21858852211401056
MeanWhile1,4,auto,auto,1.0,False,None,False,0,0.1950901570068069,0.35894286977452483,0.35144457481759694
MeanWhile1,8,auto,auto,1.0,False,None,False,0,0.25405381904547253,0.11590117485697785,0.48626733248590887
MeanWhile1,16,auto,auto,1.0,False,None,False,0,0.2321414664518112,0.12829226847918443,0.6983609139105919
MeanWhile1,32,auto,auto,1.0,False,None,False,0,0.3019284897979822,0.17580441632618934,0.7523387846930668
MeanWhile1,64,auto,auto,1.0,False,None,False,0,0.26126290690441634,0.0597501282637935,0.8394343160022395
MeanWhile1,100,auto,auto,1.0,False,None,False,0,0.2629881795937056,0.07287371247082768,0.8648831601490901
MeanWhile1,128,auto,auto,1.0,False,None,False,0,0.2552059833770631,0.03522754067436934,0.8784667963777067
MeanWhile1,256,auto,auto,1.0,False,None,False,0,0.2648242138332514,0.009523809523809506,0.9191073642718436
MeanWhile1,512,auto,auto,1.0,False,None,False,0,0.2698372495264837,0.009708737864077636,0.9542882806167519
