Filename,store_precision,assume_centered,support_fraction,contamination,Parameter_Iteration,F1_Median,F1_Range,ARI_Median
CastMetal1,True,False,None,0.1,0,0.23733333333333323,0.04347826086956515,0.8663252856088212
CastMetal1,False,False,None,0.1,0,0.24799999999999991,0.0526315789473685,0.8503250904177531
CastMetal1,True,True,None,0.1,0,0.22666666666666663,0.044776119402985,0.8299706243967746
CastMetal1,True,False,0.1,0.1,0,0.23466666666666658,0.058823529411764615,0.714357033383682
CastMetal1,True,False,0.2,0.1,0,0.2639999999999999,0.10000000000000009,0.8453127786585634
CastMetal1,True,False,0.3,0.1,0,0.21599999999999997,0.16417910447761205,0.6976707955216636
CastMetal1,True,False,0.4,0.1,0,0.18399999999999994,0.19230769230769224,0.6583955526532845
CastMetal1,True,False,0.5,0.1,0,0.24266666666666664,0.09589041095890412,0.8432350494265415
CastMetal1,True,False,0.6,0.1,0,0.23466666666666658,0.058823529411764615,0.8633823025591514
CastMetal1,True,False,0.7,0.1,0,0.2373333333333333,0.09859154929577466,0.8601341005252631
CastMetal1,True,False,0.8,0.1,0,0.2586666666666666,0.03896103896103901,0.9075634505683687
CastMetal1,True,False,0.9,0.1,0,0.24799999999999994,0.0526315789473685,0.9555864375349097
CastMetal1,True,False,None,0.2,0,0.2574074074074073,0.0,0.8770280031122941
CastMetal1,True,False,None,0.3,0,0.26285714285714284,0.02702702702702693,0.8242552337588
CastMetal1,True,False,None,0.4,0,0.25549132947976877,0.0222222222222221,0.8104017042166248
CastMetal1,True,False,None,0.5,0,0.2508453705896282,0.0,0.9011207969921544
CastMetal1,True,False,None,LOF,0,0.15714285714285708,0.1111111111111111,0.8387709468733805
CastMetal1,True,False,None,IF,0,0.26315789473684215,0.08641975308641975,0.8433708190958741
CostaMadre1,True,False,None,0.1,0,0.24117647058823527,0.04477611940298509,0.8605081338123586
CostaMadre1,False,False,None,0.1,0,0.2588235294117647,0.0,0.8794473509383826
CostaMadre1,True,True,None,0.1,0,0.2235294117647059,0.06666666666666676,0.8149831354669687
CostaMadre1,True,False,0.1,0.1,0,0.2294117647058823,0.12500000000000017,0.6379876666004823
CostaMadre1,True,False,0.2,0.1,0,0.26470588235294124,0.0,0.7862301462425372
CostaMadre1,True,False,0.3,0.1,0,0.22941176470588234,0.11111111111111122,0.7570409893692877
CostaMadre1,True,False,0.4,0.1,0,0.23235294117647057,0.10769230769230784,0.68032318901389
CostaMadre1,True,False,0.5,0.1,0,0.24411764705882347,0.10769230769230784,0.7477247209953133
CostaMadre1,True,False,0.6,0.1,0,0.25882352941176473,0.043478260869565286,0.8839657751753576
CostaMadre1,True,False,0.7,0.1,0,0.26764705882352935,0.03999999999999995,0.8578161616048093
CostaMadre1,True,False,0.8,0.1,0,0.23235294117647057,0.04918032786885254,0.9059581658431081
CostaMadre1,True,False,0.9,0.1,0,0.2647058823529412,0.0,0.96693985524349
CostaMadre1,True,False,None,0.2,0,0.260509152114454,0.029781199351701784,0.9166886352840605
CostaMadre1,True,False,None,0.3,0,0.2566929133858268,0.0,0.8518231294655428
CostaMadre1,True,False,None,0.4,0,0.26120365833741627,0.02359388968787668,0.8240728100187147
CostaMadre1,True,False,None,0.5,0,0.2505376344086021,0.01604278074866309,0.8822687138324201
CostaMadre1,True,False,None,LOF,0,0.19999999999999998,0.17073170731707313,0.8334482655347786
CostaMadre1,True,False,None,IF,0,0.2434782608695652,0.058823529411764865,0.81613868357774
KnuggetChase3,True,False,None,0.1,0,0.2857142857142857,0.0,0.9206526105099146
KnuggetChase3,False,False,None,0.1,0,0.2964285714285714,0.0447761194029851,0.9132167341520062
KnuggetChase3,True,True,None,0.1,0,0.28214285714285714,0.0,0.9162287347020449
KnuggetChase3,True,False,0.1,0.1,0,0.30714285714285716,0.058823529411764684,0.6858734426355341
KnuggetChase3,True,False,0.2,0.1,0,0.3071428571428571,0.058823529411764684,0.8393913456703257
KnuggetChase3,True,False,0.3,0.1,0,0.2964285714285714,0.058823529411764684,0.8066358396886533
KnuggetChase3,True,False,0.4,0.1,0,0.28928571428571426,0.0447761194029851,0.8957722309663647
KnuggetChase3,True,False,0.5,0.1,0,0.30357142857142855,0.058823529411764684,0.9339869879449824
KnuggetChase3,True,False,0.6,0.1,0,0.28928571428571426,0.0,0.9118048588941755
KnuggetChase3,True,False,0.7,0.1,0,0.29999999999999993,0.058823529411764684,0.9267079866157217
KnuggetChase3,True,False,0.8,0.1,0,0.31071428571428567,0.04347826086956525,0.9593379925744759
KnuggetChase3,True,False,0.9,0.1,0,0.2964285714285714,0.0447761194029851,0.9683739942245925
KnuggetChase3,True,False,None,0.2,0,0.384,0.03448275862068973,0.7548161123075363
KnuggetChase3,True,False,None,0.3,0,0.3872340425531914,0.04827586206896548,0.7971172005271667
KnuggetChase3,True,False,None,0.4,0,0.37017543859649116,0.01754385964912279,0.7545163215981742
KnuggetChase3,True,False,None,0.5,0,0.36842105263157887,0.02040816326530605,0.8501084462079253
KnuggetChase3,True,False,None,LOF,0,0.2857142857142857,0.0,0.9250764863177842
KnuggetChase3,True,False,None,IF,0,0.30847457627118646,0.0,0.8963113257880058
KungChi3,True,False,None,0.1,0,0.31724137931034485,0.0,0.7157558561971538
KungChi3,False,False,None,0.1,0,0.2827586206896552,0.0,0.718539740077695
KungChi3,True,True,None,0.1,0,0.2896551724137931,0.0,0.7411755959063716
KungChi3,True,False,0.1,0.1,0,0.3103448275862069,0.11111111111111126,0.7326319522729863
KungChi3,True,False,0.2,0.1,0,0.35172413793103446,0.15,0.5287940546198407
