Filename,ntrees,standardize_data,sample_size,ncols_per_tree,Parameter_Iteration,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9
CastMetal1,2,TRUE,auto,def,0,0.2758620689655172,0.15730337078651685,0.23999999999999996,0.12121212121212123,0.13636363636363635,0.2758620689655172,0.22608695652173913,0.2153846153846154,0.13636363636363635,0.2765957446808511
CastMetal1,4,TRUE,auto,def,0,0.25287356321839083,0.2,0.2278481012658228,0.16129032258064516,0.2222222222222222,0.1492537313432836,0.2758620689655172,0.2758620689655172,0.25974025974025977,0.15789473684210528
CastMetal1,8,TRUE,auto,def,0,0.2191780821917808,0.18181818181818182,0.2608695652173913,0.16216216216216214,0.13114754098360656,0.16666666666666666,0.15624999999999997,0.1791044776119403,0.19753086419753083,0.15624999999999997
CastMetal1,16,TRUE,auto,def,0,0.14285714285714285,0.15873015873015875,0.15873015873015875,0.12121212121212123,0.17142857142857143,0.21052631578947367,0.1846153846153846,0.1917808219178082,0.12121212121212123,0.2153846153846154
CastMetal1,32,TRUE,auto,def,0,0.18181818181818182,0.19718309859154928,0.15151515151515152,0.15384615384615383,0.12307692307692307,0.15624999999999997,0.125,0.15624999999999997,0.125,0.15151515151515152
CastMetal1,64,TRUE,auto,def,0,0.2,0.2,0.20895522388059704,0.15384615384615383,0.17391304347826086,0.15151515151515152,0.1791044776119403,0.15624999999999997,0.17647058823529413,0.15624999999999997
CastMetal1,100,TRUE,auto,def,0,0.2,0.20588235294117643,0.18181818181818182,0.1492537313432836,0.2,0.1791044776119403,0.1846153846153846,0.17391304347826086,0.17647058823529413,0.1492537313432836
CastMetal1,128,TRUE,auto,def,0,0.2,0.20289855072463767,0.2,0.1846153846153846,0.20289855072463767,0.2,0.18749999999999997,0.1791044776119403,0.1846153846153846,0.2
CastMetal1,256,TRUE,auto,def,0,0.1846153846153846,0.1846153846153846,0.1846153846153846,0.1846153846153846,0.1846153846153846,0.1846153846153846,0.2121212121212121,0.1846153846153846,0.1846153846153846,0.1846153846153846
CastMetal1,512,TRUE,auto,def,0,0.20895522388059704,0.20895522388059704,0.20588235294117643,0.20588235294117643,0.20895522388059704,0.20895522388059704,0.20895522388059704,0.20895522388059704,0.20895522388059704,0.20895522388059704
