Filename,n_estimators,max_samples,contamination,max_features,bootstrap,n_jobs,warm_start,Parameter_Iteration,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44
glass,2,auto,auto,1.0,False,None,False,0,0.45664458465895436,0.26085450938383037,0.27614068111370843,0.2985134241062718,0.21495297710070657,0.2869713275747099,0.37904412397079773,0.17595572767044768,0.21495297710070657,0.3472145327801317,0.37408628900512725,0.4214334796847068,0.40012866097368954,0.35167367439210084,0.5630698353360049,0.26151097881922336,0.24251540719030598,0.39657521957329894,0.2587864473471255,0.1663286530468146,0.3064333481672478,0.3135625828478323,0.20295424509987126,0.4758412309382586,0.31166536719093757,0.20830590067302696,0.3282406835239552,0.3386499495186745,0.22325116484055196,0.2822291448872925,0.2983785576135873,0.32345071330019026,0.2742745748946195,0.25835030439057877,0.12279329408303886,0.24169202609726093,0.3113976006760903,0.38520047503146887,0.09379478210408389,0.22393501963590398,0.2589177425810385,0.2173623554026826,0.3639975973788144,0.3113976006760903,0.24100562538241346
glass,4,auto,auto,1.0,False,None,False,0,0.3906879483617379,0.49997017676436284,0.4372788100809102,0.4386281440730027,0.35029971435022933,0.4057896984869596,0.4499523847963014,0.4685042294833525,0.47464282940484864,0.49707915413894355,0.38290524466912856,0.4086868691198555,0.5296948880059433,0.46037708154249257,0.4665009686116599,0.48841731267880034,0.3744300787390863,0.4603917293685624,0.5737013311248411,0.41152873223282777,0.5294532226495483,0.5782812440045446,0.4843387875470373,0.4772627634623588,0.3584301767645624,0.5171250068641852,0.530216862712462,0.6372093586828074,0.6703895483098812,0.5131226749575397,0.3534121888017796,0.5448261671539829,0.4018771224083875,0.38242189314561736,0.35060309689073343,0.35199148435595,0.4784640012401425,0.49942402493859184,0.4592069729679654,0.5340636683373937,0.5593618944910315,0.4698404427821414,0.6679521268731048,0.5174275989798326,0.636263824354941
glass,8,auto,auto,1.0,False,None,False,0,0.606615337539579,0.5416757265865295,0.5816406372921924,0.6516347686969388,0.4442977995199175,0.5543938623165406,0.46146176486663293,0.5777176378478043,0.5148865140270793,0.5527615378406214,0.6851083965129918,0.6714711770152515,0.7131671991094236,0.6517518755524565,0.6783309402151818,0.6783309402151818,0.6517518755524565,0.5631221327370377,0.6824027383394881,0.46122760170057964,0.4560341743428127,0.5207754908240845,0.6040160668072684,0.4961158667596581,0.6450845352722395,0.6261072504917393,0.5167224024786773,0.6983033327092781,0.6469622070619542,0.6164463511735534,0.5798957204089872,0.48574639530113844,0.6400388884850879,0.5961441331780769,0.6143097964758538,0.6467324963669634,0.6264472718442368,0.6264472718442368,0.5964395337372315,0.615893176338965,0.5690540192828121,0.5405852304832744,0.5969948344572864,0.6637617654183302,0.615893176338965
glass,16,auto,auto,1.0,False,None,False,0,0.6190276631533852,0.7365705476134348,0.609060500133666,0.7529128398306558,0.727972991502058,0.8062188482440723,0.744450334022197,0.8646340175154351,0.727972991502058,0.6659858965262885,0.6824027383394881,0.6339094903428705,0.6598239981474836,0.5366618488981398,0.6717861096380915,0.5725707349751046,0.6151151521897243,0.7048885563944033,0.6981070280855068,0.780032853490216,0.7988198854693409,0.6438598761160897,0.7931115032476244,0.780032853490216,0.6255565020665353,0.7466933567440303,0.7139232299918915,0.6215189830420197,0.6577805986094704,0.7466933567440303,0.7986131155028535,0.703641554112817,0.7059249647502966,0.7529128398306558,0.7986131155028535,0.736095289937323,0.6845383729549698,0.7863592762528357,0.8848570537748023,0.6473059628648747,0.8695703786258179,0.736095289937323,0.6907087240496292,0.7345124920908161,0.7863592762528357
glass,32,auto,auto,1.0,False,None,False,0,0.8458076236734104,0.8458076236734104,0.7986131155028535,0.8815647847390453,0.8779700516935128,0.8458076236734104,0.7741382263974979,0.8186983625160763,0.8458076236734104,0.8061785891263853,0.8187992083095391,0.8458076236734104,0.9034032155519968,0.8695432811427594,0.7928877764019072,0.9034032155519968,0.9341504181006309,0.8187992083095391,0.7861964083280112,0.840531374805429,0.8695432811427594,0.7928877764019072,0.9034032155519968,0.8695432811427594,0.7986131155028535,0.7927382520971171,0.8187992083095391,0.9143929827503382,0.9094570832142685,0.8780379286698821,0.8779700516935128,0.8458076236734104,0.7741382263974979,0.8186983625160763,0.8458076236734104,0.840531374805429,0.7678047406805358,0.8739587118139028,0.9034032155519968,0.7928877764019072,0.840531374805429,0.8695432811427594,0.8816480474342536,0.8506333515113823,0.9674958687402453
glass,64,auto,auto,1.0,False,None,False,0,0.9094570832142685,0.8549115116048732,0.8505255165227656,0.9341640958777938,0.8647532947400216,0.8816480474342536,0.840531374805429,0.8348141531909116,0.9094570832142685,0.780032853490216,0.8848570537748023,0.8459250819076697,0.7794141490033016,0.9711938472761802,0.8780379286698821,0.8130685100948324,1.0,0.8334229375945325,0.7931115032476244,0.7286954522503158,0.8089966052467971,0.7128260321295395,0.7044632684929852,0.780032853490216,0.7863592762528357,0.7794141490033016,0.9143929827503382,0.8780379286698821,0.8130685100948324,0.8848570537748023,0.9289204224585063,0.8189669433796253,0.8347434707313095,0.8959898964724536,0.8459250819076697,0.7534919293668285,0.8960371735540941,0.8916126208060136,0.7794141490033016,0.8506333515113823,0.7866029479474407,0.9711938472761802,0.8646638622813111,0.8780379286698821,0.8130685100948324
glass,100,auto,auto,1.0,False,None,False,0,0.8780379286698821,0.9065992591246591,0.8780379286698821,0.9674958687402453,0.9363916372209103,0.8739834322301054,0.9663161332686784,0.9341504181006309,0.9034032155519968,0.912023534929818,0.9418802271434716,0.9094570832142685,0.9402289298742679,0.8815856157886439,0.8459250819076697,0.8780379286698821,0.8505255165227656,0.912023534929818,0.9384039308548208,0.9695219457920936,0.9094243741145316,0.8740575154476643,0.9065992591246591,0.8779700516935128,0.9094570832142685,0.9402289298742679,0.8815856157886439,0.8459250819076697,0.8780379286698821,0.8505255165227656,0.9685593254769389,0.8457488033962498,0.9341640958777938,0.9674958687402453,0.9363791592965415,0.8779474030170831,0.9034421852850691,0.9363916372209103,0.9065636292342834,0.8405957087249561,0.8127753850275853,0.7861148479628383,0.9663161332686784,0.9341640958777938,0.9674958687402453
glass,128,auto,auto,1.0,False,None,False,0,0.9094243741145316,0.9703965449289909,0.9402184151539943,0.8815647847390453,0.9402184151539943,0.8740575154476643,0.9065992591246591,0.9384039308548208,0.9094243741145316,0.9402289298742679,0.9094243741145316,0.9695219457920936,0.9094243741145316,0.9034421852850691,0.9363916372209103,0.9065636292342834,0.8779474030170831,0.912023534929818,0.912023534929818,0.9703965449289909,0.8459250819076697,0.8780379286698821,0.9094570832142685,0.8815856157886439,0.8815647847390453,0.8815647847390453,0.8740575154476643,0.9065992591246591,0.9384039308548208,0.8504715180879707,0.8815647847390453,0.8740575154476643,0.9065992591246591,0.8779700516935128,0.9094243741145316,0.8740575154476643,0.9065992591246591,0.8779700516935128,0.9094243741145316,0.9663161332686784,0.9341640958777938,0.9034421852850691,0.9034032155519968,0.9363916372209103,0.8457488033962498
glass,256,auto,auto,1.0,False,None,False,0,0.9384039308548208,0.9341640958777938,1.0,0.9685593254769389,0.9094570832142685,0.9363791592965415,0.9341640958777938,0.9034032155519968,0.9363791592965415,0.8740575154476643,0.9384039308548208,0.9695219457920936,0.912023534929818,0.9384039308548208,0.8740575154476643,0.9065992591246591,0.9384039308548208,0.9341640958777938,0.9034421852850691,0.8459250819076697,0.9341640958777938,0.9316724088411243,0.9663161332686784,0.9341640958777938,0.9685593254769389,0.9094570832142685,0.9363791592965415,0.9341640958777938,0.9034032155519968,0.9363791592965415,0.9402289298742679,0.9685593254769389,0.9034421852850691,0.9363916372209103,0.9685593254769389,0.9094570832142685,0.8459250819076697,0.8780379286698821,0.9094570832142685,0.9341640958777938,0.9674958687402453,1.0,0.8998972411224104,0.9341640958777938,0.9674958687402453
glass,512,auto,auto,1.0,False,None,False,0,1.0,0.9685593254769389,0.9384039308548208,0.9034032155519968,1.0,0.9685593254769389,0.9685593254769389,0.9685593254769389,0.9685593254769389,0.9685593254769389,0.9384039308548208,0.9034032155519968,1.0,0.9685593254769389,0.9685593254769389,0.9685593254769389,0.9685593254769389,0.9695219457920936,0.9363916372209103,0.9685593254769389,1.0,1.0,1.0,0.9383924986657658,0.9065992591246591,0.9384039308548208,0.9695219457920936,0.9695219457920936,0.9695219457920936,0.9094243741145316,0.9034032155519968,0.9363916372209103,0.9363916372209103,0.9363916372209103,0.8739834322301054,0.9685593254769389,0.9685593254769389,0.9685593254769389,0.9685593254769389,1.0,1.0,0.9383924986657658,1.0,0.9383924986657658,0.9383924986657658
