Filename,ContaminationFraction,NumLearners,NumObservationsPerLearner
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
CastMetal1,IF,128,1
CastMetal1,IF,128,1
CastMetal1,IF,128,1
CastMetal1,IF,128,1
CastMetal1,IF,128,1
CastMetal1,IF,128,1
CastMetal1,IF,128,1
CastMetal1,IF,128,1
CastMetal1,IF,128,1
CastMetal1,IF,128,1
CastMetal1,IF,128,1
CastMetal1,IF,128,1
CastMetal1,IF,128,1
CastMetal1,IF,128,1
CastMetal1,IF,128,1
CastMetal1,IF,128,1
CastMetal1,IF,128,1
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,IF,128,0.5
CastMetal1,0.15,128,auto
CastMetal1,0.15,128,auto
